s1,s2,frac_Gd,sus
869643,12,0.019313,0.2698536842030128
840502,12,0.038294,0.28835423715771763
803411,13,0.056708,0.3246025620910598
772884,13,0.074935,0.35006080653791893
742031,14,0.092805,0.37788347598917543
714590,14,0.110539,0.39985451863544325
682883,15,0.128009,0.4335319974632766
656596,16,0.145036,0.4564706818064854
628408,16,0.161878,0.4867334349891782
602799,16,0.178489,0.5119322808824227
578180,16,0.194388,0.5387357685833876
553671,15,0.210321,0.5655538516283198
530218,15,0.225769,0.5923490534478728
506780,15,0.241012,0.6215460586992153
484572,15,0.256066,0.6498318399212833
463335,15,0.270845,0.6760867031015353
442296,15,0.285323,0.7033513041555836
422901,18,0.299804,0.7298599249353038
403258,24,0.313814,0.7580102188036479
384495,24,0.327569,0.7870458084175179
365799,23,0.341023,0.8180103402698425
347910,22,0.354281,0.8467166058300902
330901,25,0.36707,0.876632487004882
315259,25,0.379718,0.9068697785845793
299773,23,0.392202,0.9340126160336164
284844,22,0.404358,0.9628703147192441
270660,22,0.416405,0.9909560568544967
257469,25,0.428058,1.0171818121417906
244483,21,0.439608,1.0468511327784837
231630,28,0.450906,1.0780813485487002
218556,28,0.462036,1.1130484567740593
205857,29,0.473003,1.1531374941413328
194324,30,0.483593,1.1818681776195907
183394,30,0.493834,1.2105672842506214
172865,29,0.504211,1.2399064924796637
162622,35,0.514242,1.2734612708385658
152454,49,0.524245,1.3165705037256572
143252,49,0.533898,1.3504940978584086
134265,49,0.54348,1.3843227021817226
125461,49,0.5529,1.4181503019458734
117805,53,0.562083,1.4544491307713563
110593,49,0.571035,1.4828902124881984
103352,47,0.579619,1.5057650084090384
96591,45,0.588124,1.5379313191348853
89742,77,0.596608,1.5926790813898144
82987,53,0.605013,1.6334157833042606
76751,67,0.613062,1.6806956153182164
70876,67,0.620962,1.7249510603158522
65396,58,0.628773,1.7420796439914124
60347,58,0.636337,1.7836788455245653
55009,68,0.643875,1.8553934713934714
50492,67,0.651301,1.8895064224445726
46008,117,0.658519,2.001197724031498
42113,116,0.665745,2.0737520755112113
38424,98,0.672751,2.0765441605627517
34791,97,0.679412,2.1521423134989455
30945,164,0.686062,2.3242582930387528
27917,158,0.692444,2.3015223243897047
24496,150,0.698853,2.353113263622085
22168,119,0.704987,2.3153793222671544
19001,115,0.711095,2.4388709091223757
15540,270,0.716915,3.3166257484501123
13291,257,0.722841,3.3880840961325447
10179,300,0.728603,4.458855477400266
8167,269,0.734153,4.569342516560277
5676,615,0.739582,5.886014023608199
1972,1894,0.744978,19.131447482962255
1200,793,0.750221,7.932047930370447
523,506,0.755427,6.7223610128673235
440,272,0.760526,4.724387616192154
239,208,0.765483,4.043084296660797
237,179,0.77033,3.660195062480951
196,163,0.775021,3.321976717826997
186,123,0.77954,2.881701896035562
160,121,0.784044,2.671238585637815
153,121,0.788515,2.480100243516089
132,114,0.792878,2.339616264810112
120,87,0.797103,2.205015352617338
86,76,0.801219,2.114351975289389
68,66,0.805368,2.0136051625631963
68,65,0.809338,1.956834607840052
59,50,0.813224,1.8761029254293913
58,49,0.817033,1.8261927014161023
48,48,0.820826,1.7714623773538571
48,43,0.824615,1.7292299797588164
47,42,0.828308,1.6854774829345571
42,41,0.831819,1.6377058050552677
42,32,0.83531,1.5898597364745886
41,30,0.838707,1.5610968857916958
41,29,0.842035,1.5386699585351185
41,29,0.845229,1.5141854740229113
41,26,0.848354,1.495463118051251
26,24,0.851562,1.4721567253668197
26,21,0.854682,1.4438816939401864
23,21,0.85769,1.4260206591244466
23,20,0.860684,1.4079143816934163
23,20,0.86356,1.3909337437701554
22,20,0.866426,1.3755671013820054
21,20,0.869143,1.358735107789419
20,19,0.871878,1.340675293860539
19,17,0.874526,1.3250314806254682
19,16,0.877088,1.3132729107003385
19,16,0.879685,1.3003366163819972
19,16,0.882244,1.2854291925676824
17,16,0.884681,1.2765459291183587
16,16,0.887023,1.2676828026943536
15,15,0.8894,1.2593399638336347
15,15,0.891703,1.251576682641255
15,15,0.893966,1.2448931474809966
15,13,0.896198,1.2358625074661373
15,12,0.898361,1.2297248103582286
15,12,0.900571,1.2227418559977472
13,12,0.902738,1.2159219427936914
13,12,0.904837,1.2100291079516199
13,12,0.906665,1.2035142229603042
11,10,0.908606,1.1971354793531304
11,10,0.910582,1.1911360128833122
11,10,0.91249,1.1853845274825734
11,10,0.914273,1.1793250667817607
11,10,0.915997,1.1749580372129567
10,9,0.917748,1.1705004133638088
10,9,0.919465,1.1651207549512634
10,9,0.921107,1.1612310344390504
10,9,0.922716,1.1557890378344806
10,8,0.924328,1.1522888254572365
9,8,0.925936,1.1481826528407864
8,7,0.927412,1.142365129222461
8,7,0.928881,1.138584625768079
7,7,0.930354,1.134350860063751
7,7,0.931804,1.1315179775939939
