s1,s2,frac_Gd,sus
870071,12,0.018088,0.2716383952940793
838705,13,0.036016,0.29710762834237914
801063,12,0.05361,0.33519479284438763
768723,12,0.0709,0.3666419115272845
738726,13,0.08816,0.3946547639936831
708438,12,0.105215,0.42395547533765093
678358,12,0.121992,0.45603001339395544
647334,14,0.138791,0.49285945687980504
619168,14,0.155209,0.5235768373479358
591559,16,0.171345,0.5582902414153055
565246,17,0.18727,0.5911458910093143
538892,16,0.203016,0.6258218483683486
512846,27,0.218422,0.6639746768716622
486894,27,0.233706,0.7032000772549439
463970,27,0.2485,0.7365854956753161
441556,27,0.263177,0.7731151171991102
419550,27,0.277865,0.8087255153122339
396984,27,0.292072,0.8501401272445785
376087,21,0.306404,0.8868289321161021
355916,21,0.320423,0.9271487999152414
336879,21,0.334007,0.9632623766315862
318506,25,0.347233,1.0068845392000514
300422,32,0.360221,1.0500360280659415
283047,32,0.373086,1.0961838465882083
267061,32,0.38581,1.1327944121525912
251619,32,0.398111,1.1770276579236372
236462,33,0.410437,1.2205938975139212
221714,37,0.422504,1.2626615595605857
206871,54,0.434282,1.3223885398732231
193233,45,0.445998,1.3739463034429478
180318,44,0.457507,1.419378683227249
168667,44,0.468727,1.4611433293240952
156285,45,0.479477,1.5376726868937587
145049,56,0.49001,1.6037392890056668
134515,45,0.500539,1.6471356121899408
123502,75,0.510902,1.7345399081574653
114027,72,0.520941,1.791725027606203
104378,72,0.530989,1.8503084149412274
95796,86,0.540685,1.9373610702894528
86249,101,0.550436,2.0555671717486277
78071,98,0.559753,2.1235851692345435
70233,97,0.568978,2.210432414122713
62286,94,0.578151,2.320339742419681
54853,250,0.586959,2.630799363743551
48284,249,0.595588,2.950748246837384
42434,171,0.603879,3.0398969001895884
35829,200,0.612204,3.4020593301632815
28077,521,0.620283,4.760023912545396
23205,467,0.628167,4.78277613875046
17527,424,0.636041,5.403811967831541
12043,519,0.643659,6.874948434224521
7851,391,0.651144,6.883456211158759
3035,1462,0.658465,15.143103927855124
999,613,0.665685,8.54929033994885
506,495,0.672746,7.100606868059672
409,394,0.679826,5.3380505600079955
334,315,0.686482,4.6876032636084695
294,292,0.693259,4.15553512572496
281,228,0.699641,3.622778075569568
268,215,0.706172,3.3596934260860096
248,209,0.712373,3.063408511718302
223,188,0.71861,2.878734141227478
177,145,0.724518,2.5536223782316085
171,138,0.730407,2.4128593843311954
170,110,0.736023,2.294976456282176
159,66,0.741622,2.128133974254774
157,66,0.746904,2.0628733761102507
130,64,0.752332,1.9935801153156645
73,63,0.757813,1.9341748318448142
55,50,0.762821,1.8574157071241553
54,49,0.767942,1.8133483870411709
52,37,0.772809,1.760082925820125
35,30,0.777804,1.7135456983924102
31,30,0.782464,1.67507447043248
30,29,0.787147,1.6389104217464636
30,28,0.791622,1.6064939676933265
30,24,0.796169,1.5774980253249016
24,21,0.800581,1.5470090613231438
21,19,0.804866,1.5215339202804228
21,19,0.809058,1.5001885389280514
18,18,0.813071,1.4788770067779746
18,17,0.817011,1.462060561017329
18,17,0.820897,1.442292982250437
18,17,0.824764,1.4241936588372253
17,15,0.828504,1.4082602509679527
17,15,0.832165,1.3931659069919862
17,15,0.835782,1.379209343677307
17,15,0.839326,1.3635746916115863
15,14,0.84269,1.3519483821753226
14,13,0.846086,1.3397221825175099
13,11,0.849278,1.3291423946072902
13,11,0.852463,1.3217972440811459
13,11,0.855556,1.3088186425189001
13,11,0.858659,1.2987172865622856
13,11,0.861714,1.2903041522641483
11,10,0.864616,1.2771450097500443
11,10,0.867525,1.2681336101151162
10,10,0.870441,1.2588010095786475
10,10,0.873122,1.2523999432525734
10,10,0.875856,1.2443774971001418
10,10,0.878555,1.2372761332290336
10,10,0.881203,1.230022643669453
10,10,0.883759,1.2238624925800707
10,10,0.886238,1.2163815685378245
10,9,0.88866,1.2108316867253457
10,9,0.89112,1.2041880969875092
10,9,0.893508,1.1991698906960147
9,8,0.895689,1.1929901927888718
8,8,0.897927,1.187003419121609
8,8,0.900061,1.1814306727103534
8,8,0.902201,1.1763617214899948
8,8,0.904281,1.1717527345668048
8,8,0.906346,1.1658444914258868
8,8,0.90831,1.1620896499072964
8,8,0.910285,1.157119768154712
8,8,0.91226,1.1519945292910874
8,8,0.914205,1.148003962934903
8,7,0.915979,1.1449875626331512
8,7,0.917772,1.1404144573624555
8,7,0.919504,1.1368763665275292
8,6,0.921182,1.132863051587201
7,6,0.922876,1.1289481873346818
6,6,0.924515,1.1260117904219382
6,6,0.926148,1.124438065319829
6,6,0.927801,1.121054308231416
6,5,0.929315,1.118384381410483
6,5,0.930869,1.1155487407964588
6,5,0.932335,1.1128500701987734
6,5,0.933695,1.110127441369429
6,5,0.935148,1.1068278541910812
