s1,s2,frac_Gd,sus
868086,12,0.018508,0.2745554726885191
835059,13,0.037121,0.30125072828465466
798955,14,0.055363,0.33629637627998904
768631,13,0.073214,0.36224004246935104
737625,13,0.090743,0.39169343760894887
709330,14,0.108099,0.4167088051252325
678515,13,0.125068,0.44935034951287645
649014,18,0.142049,0.48134800239174497
622373,17,0.158596,0.5078713673811867
594906,14,0.174963,0.5383091909817378
568536,14,0.190896,0.5695312345508118
542491,14,0.206693,0.6040637483345035
517656,19,0.221998,0.6382631407117205
495378,19,0.237349,0.664410064367581
471378,18,0.252484,0.7003355112131379
449383,18,0.267148,0.7319281382871303
427660,18,0.281751,0.7650174243194212
407988,19,0.296092,0.7934843757991101
387717,19,0.310162,0.8292019285687364
368228,19,0.324135,0.8621943731366472
348742,21,0.337675,0.898650964405692
329929,24,0.350852,0.9370574969036337
312090,22,0.36404,0.9741304484558777
295890,23,0.377028,1.0053581862427203
279861,23,0.389668,1.0390361311548468
265046,35,0.402086,1.0726191392073108
250178,33,0.414278,1.107747361376216
235697,33,0.426244,1.145997601767999
222012,32,0.437817,1.1841749039013987
208285,33,0.449461,1.2264162938502086
195650,30,0.460703,1.2646000255888685
183543,31,0.471664,1.3023852245540717
171378,29,0.482652,1.3482027571383286
160052,54,0.493444,1.3922725226825858
149216,54,0.50401,1.4410088913082926
138641,56,0.514357,1.4996077365472167
129012,56,0.524376,1.550232957125797
119299,54,0.534329,1.603243491649684
110310,51,0.543799,1.6560660761374921
101496,53,0.553348,1.7255312861019316
93368,52,0.562638,1.7776990227774703
85204,164,0.57176,1.9158882869419018
77738,80,0.580663,1.9530902353000092
70212,104,0.589425,2.1399622480667357
63320,253,0.59787,2.309780419267401
57175,184,0.606133,2.319595193301292
50590,166,0.614402,2.516843967033024
45219,163,0.622478,2.6484310848109516
39461,159,0.630313,2.8792519076948877
34210,162,0.638044,3.0174109560278044
30166,239,0.645658,3.128745675082265
25837,160,0.652996,3.146986778250395
20136,227,0.660186,4.110719393550589
16014,328,0.667244,4.444698217312385
12376,240,0.674114,4.675622763788564
9211,472,0.680987,5.568048950983189
7013,342,0.687587,5.158921043618544
3646,740,0.694177,7.003812662880163
1316,723,0.700458,8.123161359675771
876,514,0.706834,6.824311141128234
447,344,0.713004,5.659768777265189
368,284,0.719042,4.477267064828195
353,274,0.724992,4.0081633988829415
319,271,0.730795,3.527571924741368
261,259,0.736448,3.219755494171928
154,120,0.741922,2.819790915924643
120,112,0.747225,2.648651963208387
114,84,0.752429,2.4398616962406745
83,81,0.757574,2.330018232367815
74,66,0.762727,2.1896675980832208
73,64,0.7678,2.100753660637382
73,59,0.772588,2.007602940917806
52,45,0.777483,1.9408988976123172
45,39,0.7821,1.8689720055071133
44,38,0.786728,1.8203983645298023
43,38,0.791287,1.7731526066895689
38,34,0.795639,1.7280156194185778
34,34,0.79993,1.6876793122407157
34,32,0.804129,1.6520413945913381
34,32,0.808118,1.6261452350924006
34,28,0.812174,1.5903442547890068
32,28,0.816095,1.5660204997145266
32,27,0.820027,1.5380029226606213
32,27,0.823827,1.512371362240525
32,24,0.827483,1.4882649246161248
32,23,0.830972,1.4705255933928107
32,23,0.834436,1.4560653282114469
32,23,0.837798,1.438749213943108
27,23,0.841245,1.4224685836666562
27,23,0.844597,1.4048892235027637
26,23,0.847872,1.3886858435002103
23,23,0.851062,1.3725509943734977
23,22,0.854262,1.3564272873238277
23,22,0.857344,1.3465329183490355
22,22,0.860398,1.3354679732382058
22,22,0.863259,1.324599059535911
22,19,0.866268,1.3113241408189513
22,18,0.869028,1.3034847142900772
22,18,0.871847,1.292915499442073
21,18,0.874535,1.2854262144821265
21,18,0.877171,1.2735266101653517
21,15,0.879717,1.2653658455475836
21,15,0.88226,1.257270256497367
17,14,0.8847,1.249115351257589
17,14,0.887162,1.2417004909693543
15,14,0.889557,1.2361670726075895
15,14,0.891874,1.2292233135416089
15,14,0.894048,1.2225819238900635
15,14,0.896193,1.2167965551456068
14,13,0.898407,1.2082820666778222
14,12,0.900529,1.2020488383548975
14,12,0.90266,1.1960961577974112
13,11,0.904652,1.190638503167345
13,11,0.906681,1.1846033498001478
12,11,0.908573,1.1799468428363613
11,8,0.910591,1.173908666912727
11,8,0.912509,1.1695831571247328
11,8,0.914338,1.165289159720763
11,8,0.916124,1.1611307167723783
8,8,0.917933,1.1563844176100015
8,8,0.91963,1.1531666044543984
8,8,0.921371,1.148647445598952
8,7,0.923096,1.1444398210756268
8,7,0.924686,1.1410361951297237
8,7,0.926232,1.1361294870404512
8,7,0.927827,1.1330691532844692
8,7,0.929367,1.1298260020103918
8,6,0.930818,1.1264490763493393
8,6,0.932269,1.1238133203407599
8,6,0.933707,1.1201635165100388
