s1,s2,frac_Gd,sus
883079,12,0.010069,0.26261224267145894
851486,14,0.020434,0.3014967853110459
820596,16,0.031399,0.34110949709942484
786915,16,0.042751,0.386630855712568
752536,16,0.054663,0.4354076905907629
717892,16,0.067373,0.4856507478338071
685889,16,0.080433,0.5331705030737293
652694,16,0.093907,0.5866781886627531
620468,17,0.107473,0.6403514963692976
587313,19,0.121478,0.7008304857476535
555597,24,0.135723,0.7612837088109483
524498,24,0.149901,0.823585253011708
494036,25,0.164113,0.8916863164518649
464263,25,0.178495,0.9623021162378804
435714,43,0.192876,1.0391687027024348
407383,42,0.207415,1.1153176000050469
379945,41,0.221616,1.1994632469321056
352097,41,0.23584,1.3005587835008374
325378,40,0.250051,1.3996271746478761
299124,43,0.263959,1.515857132958626
273874,47,0.277795,1.6294639333707188
249955,46,0.2914,1.7453161162856337
227393,87,0.304892,1.9004082818784995
205204,62,0.318394,2.0588785896837765
183126,107,0.331712,2.2595318186171234
161167,95,0.34486,2.5235506914552617
139572,141,0.357772,2.8841875471016523
119694,172,0.3707,3.3576704274590816
99275,172,0.383178,3.7625133344789905
80705,225,0.395507,4.683759778856
63584,314,0.407751,5.281428926009162
46590,338,0.419757,6.131515589158336
30121,953,0.431727,9.552366556215059
18693,745,0.443217,9.798316399746401
7262,2005,0.45465,18.60270651874943
1439,1023,0.465887,14.089426769241715
712,599,0.476837,9.230092724447257
378,367,0.487752,6.647206040823976
343,235,0.498512,5.436845946463325
213,199,0.508981,4.630411450473403
135,134,0.51911,4.084179334151261
123,110,0.529184,3.692272565078502
122,104,0.539067,3.3904905919081516
121,89,0.548738,3.1750535165823845
120,86,0.558151,2.9530427815837537
120,83,0.567536,2.780559769136853
108,80,0.576593,2.649245288811947
77,55,0.585484,2.5245129259184207
54,53,0.59423,2.4294797545407496
53,52,0.602766,2.3553598131076394
51,42,0.611067,2.281020124288759
42,39,0.619322,2.2156835961100985
37,34,0.62744,2.1498362679836807
37,33,0.635376,2.096463754442933
37,33,0.643117,2.0507393179277242
37,33,0.650754,2.0050422911071277
37,33,0.658162,1.9684733704269273
36,28,0.665535,1.9256753322470213
31,28,0.672753,1.8894290856753462
30,26,0.679692,1.8551206963297826
30,24,0.686644,1.8222277537369638
30,24,0.693425,1.794193916659871
29,24,0.7,1.76801
26,19,0.706399,1.7381378128821088
18,17,0.712642,1.7140918297037144
17,16,0.718722,1.693516734334004
17,16,0.724638,1.6728125158881764
16,16,0.730595,1.6544644679942837
16,16,0.73625,1.6360037914691943
16,14,0.741913,1.6170244917411571
14,13,0.7474,1.6003325415676959
14,13,0.752764,1.5851008752770632
14,13,0.758136,1.5694109086097972
13,12,0.763298,1.5559691088372722
13,12,0.768257,1.5441156798695106
13,12,0.773222,1.531334609177257
12,11,0.778118,1.5196275497787113
12,11,0.782842,1.5077961668462594
12,11,0.787338,1.4968823767292698
12,10,0.791852,1.4853469646597612
12,10,0.796234,1.476193280527664
12,10,0.800701,1.4671573866401737
12,10,0.804896,1.4583299163523045
12,10,0.809209,1.449318888207515
12,10,0.813244,1.4412816723425217
12,10,0.817228,1.4328562361849737
12,10,0.821143,1.4249316493064292
12,10,0.824901,1.4165643435999062
12,10,0.828553,1.4097592842102806
10,9,0.832219,1.402465118219584
10,9,0.835886,1.394469697892928
9,9,0.839321,1.3873748280733638
9,9,0.842676,1.380355190562152
9,9,0.846082,1.373582037188633
9,9,0.849322,1.3677311883619374
9,9,0.852532,1.3624447337727508
9,9,0.855728,1.3567220250637684
9,9,0.858704,1.3515386139735024
9,8,0.861682,1.3477132405037666
8,8,0.864616,1.3416504165928027
8,8,0.867447,1.3371934245169856
8,8,0.870251,1.3323185535148634
8,8,0.872977,1.327704431480913
8,8,0.875624,1.323904933427671
8,8,0.87828,1.319783108774236
8,8,0.880917,1.3154774401048008
8,7,0.883425,1.310838515976839
8,7,0.885877,1.306195946478799
8,7,0.888252,1.302913698679171
8,7,0.890616,1.298617713742412
8,7,0.892875,1.2947024504084015
8,7,0.895147,1.290215825965876
8,7,0.897322,1.2859424608971737
7,7,0.899551,1.2830391541976525
7,6,0.901759,1.2797915330666423
7,6,0.903781,1.2759642066535715
7,6,0.905816,1.2723073982842097
7,6,0.907823,1.2690801392972217
6,6,0.909817,1.2664138473991773
6,6,0.911772,1.263204424899125
6,5,0.913651,1.2605009901678075
6,5,0.915471,1.2572371612109454
6,5,0.917263,1.2548315747489032
6,5,0.919017,1.252596223898843
6,5,0.920716,1.2501639675092073
6,5,0.922421,1.246999832428879
6,5,0.924067,1.2447947532693295
6,5,0.925623,1.2427632198125764
6,5,0.927137,1.2408629894459464
6,5,0.928581,1.2381719150366148
