s1,s2,frac_Gd,sus
870864,12,0.018112,0.2696641572154869
838101,11,0.035864,0.2975524199905408
804272,16,0.053309,0.3296080769754862
771460,16,0.070718,0.3601016698913785
737462,16,0.087762,0.39675610969944247
707706,16,0.10463,0.4264091939645063
676289,16,0.121377,0.4617133856045198
648600,16,0.137919,0.49036111455884074
618784,16,0.154248,0.5288145934032672
592249,16,0.170466,0.5589993900189745
565076,16,0.18626,0.5929608966008799
539853,16,0.201792,0.6263442611449648
514872,17,0.217132,0.6613860829667326
490506,17,0.23227,0.6948953408099201
467140,17,0.247263,0.7277375763380836
443646,17,0.262353,0.7631062012046412
420768,18,0.27719,0.8015163044230157
399865,19,0.291308,0.8370110005474874
378885,19,0.305447,0.8750923255676673
359264,20,0.319243,0.9116747973212174
339523,19,0.333205,0.9503250624254831
321664,20,0.346371,0.9883297711698839
303563,23,0.35951,1.0294040500242003
285247,24,0.372416,1.0750035055068325
269284,27,0.385004,1.1140170017365967
253470,27,0.39743,1.1534892211693246
237637,37,0.409906,1.2033116757669118
223050,37,0.421804,1.2505275027845228
208841,39,0.433436,1.3071621211372413
194425,39,0.444964,1.3623026254152883
181591,38,0.456441,1.404877851346404
169595,42,0.467538,1.4625250252600186
157269,51,0.478473,1.523993963879147
146015,57,0.4892,1.5781499608457321
133922,61,0.499756,1.6542487266214088
122871,59,0.510086,1.7262315426789192
113046,104,0.520316,1.8349288281451956
103135,101,0.530232,1.8956655200013623
94005,80,0.539877,1.9749240963829238
85077,80,0.54962,2.0665682312713707
76613,94,0.558955,2.198328968699339
69191,84,0.568093,2.241533478271943
60804,126,0.577251,2.460838464431613
53756,94,0.586166,2.60095593885471
45797,91,0.594797,2.7652707408385426
39855,154,0.603306,2.9543804544560794
33273,294,0.611671,3.3849905621264442
28127,377,0.61976,3.8764438249526614
22697,580,0.62779,4.979385293248435
18520,497,0.635743,5.022319406353207
12875,346,0.643274,5.458539607429792
6749,791,0.650949,9.646641894737446
4398,512,0.65834,7.296616519346719
1997,1272,0.665748,11.07465325562749
913,611,0.672753,7.124147814953231
601,557,0.679739,5.924367937401057
306,267,0.686601,4.639801020424443
226,218,0.693382,4.021759974952547
216,193,0.699764,3.5567753367351016
212,155,0.706121,3.178985228614498
173,154,0.71241,2.9070377968635905
143,115,0.718522,2.6391867215199767
138,77,0.724438,2.4672197182485247
131,69,0.730413,2.3305945761479596
126,60,0.736329,2.219132934604109
90,60,0.741988,2.122924515138831
72,57,0.747391,2.0416889342818347
70,57,0.752714,1.9777666345850553
55,44,0.758005,1.9073286638153681
54,42,0.763136,1.8498547689813565
52,40,0.768039,1.8028677234535115
52,40,0.77295,1.7541686853116054
42,38,0.777664,1.721277705814623
42,38,0.78249,1.6851179256126154
38,26,0.7872,1.6509962406015037
25,24,0.791686,1.6195694960492333
25,24,0.79627,1.5887350905610367
24,24,0.800543,1.5624069348280583
24,23,0.804863,1.53803225426239
24,23,0.8091,1.5090728129910949
22,20,0.81318,1.4851514827106305
22,20,0.817068,1.4650361883104104
21,20,0.820974,1.4444885100488196
21,20,0.824872,1.4279212918551003
21,20,0.828622,1.4110971069798923
21,20,0.832304,1.3939927010781414
20,18,0.835905,1.379243730765715
20,18,0.839302,1.3672354354130107
20,18,0.842752,1.3539758852258852
19,18,0.846082,1.3412921165815563
18,15,0.849309,1.3312208426515186
18,15,0.852516,1.3188820482221801
18,15,0.855702,1.3096092807939126
17,15,0.858892,1.295213595260368
17,15,0.861921,1.2852352638706828
17,15,0.864866,1.2762813207630943
15,12,0.867734,1.2662740235585865
14,12,0.870538,1.2579444161221054
12,12,0.873346,1.2489143651207226
12,12,0.876056,1.2412863874007616
12,12,0.878643,1.2339214054401477
12,11,0.881156,1.2266500622665006
12,11,0.883713,1.2191990506247474
12,11,0.886223,1.2144721692433444
12,10,0.888658,1.2073072156059708
12,9,0.891036,1.200708490877721
11,9,0.893295,1.1958389953610422
11,8,0.89553,1.1909926294630038
8,7,0.897756,1.185712609052854
8,7,0.899927,1.1806281414567366
8,7,0.902042,1.1762592131321588
8,7,0.904198,1.1712699108578108
8,7,0.906255,1.1670275748039896
7,7,0.908257,1.1622467109207242
7,7,0.91018,1.1571698953462481
7,7,0.912085,1.1531820508445658
7,7,0.913996,1.1485163480768337
6,6,0.915893,1.1444112856242643
6,6,0.917752,1.1398696624841942
6,6,0.919529,1.137167426774863
6,6,0.921246,1.1344439647509967
6,6,0.922893,1.1303902369434682
6,6,0.9245,1.1269139072847683
6,5,0.926044,1.1234788252474444
6,5,0.927638,1.1199801000525138
6,5,0.92924,1.1165065008479367
6,5,0.930786,1.1128673389776635
6,5,0.932233,1.110614310800242
6,5,0.9337,1.1083257918552036
6,5,0.935009,1.105676170546691
