s1,s2,frac_Gd,sus
870738,12,0.018348,0.26954969785626676
838876,12,0.036637,0.29369925978058115
802585,12,0.054405,0.329843114652679
769268,12,0.072085,0.3622605518824461
737526,12,0.089404,0.3933994878079851
707098,18,0.106413,0.42632782258470636
675770,18,0.12358,0.4609593573857283
648119,18,0.140163,0.48922295737447913
620823,18,0.156545,0.5191646264471727
592993,18,0.172585,0.5521654792335164
566322,19,0.188685,0.585088405859623
539681,20,0.204669,0.6214041700876742
515082,19,0.22033,0.652676132209781
490903,19,0.235614,0.686745963426855
467274,19,0.250748,0.7211805907758672
444265,18,0.265315,0.7565446415810858
423107,23,0.279811,0.7895121974926026
401692,23,0.294079,0.8253883933187991
382242,21,0.308104,0.8567703816758588
362300,20,0.321952,0.8919693001085469
343832,20,0.335519,0.9275735498832923
325397,20,0.348784,0.9653893638976929
307599,20,0.361819,1.0027123966398248
291429,20,0.374726,1.0354516579931359
275744,23,0.387429,1.0694188918509038
260375,33,0.400091,1.107471299813805
245559,33,0.412245,1.141788670449422
230725,28,0.424136,1.1856011141519525
217609,44,0.435748,1.2238414750856002
204359,43,0.447284,1.2617962932138747
190549,57,0.458306,1.3267324356555545
178508,57,0.469327,1.370680249419134
166559,57,0.480193,1.4260254286687175
155070,57,0.490883,1.4764759377510475
144418,41,0.501304,1.5210910053419318
133667,44,0.511623,1.5728668630996137
123154,50,0.521732,1.642694054379553
112879,50,0.531585,1.7345131987660514
103668,122,0.541419,1.819096299236122
94240,48,0.550878,1.872008051264467
86203,90,0.560014,1.945923279377071
78302,89,0.56911,2.01482048782752
71363,109,0.578119,2.1045508093514522
63667,107,0.586821,2.2474327107621637
56066,106,0.595535,2.4199349758322724
49260,111,0.604062,2.5142219236345085
43449,155,0.612402,2.6453309872599964
37647,147,0.620552,2.765525183951424
33048,142,0.628693,2.8708508053982285
28323,175,0.636509,3.0569670225672714
24078,224,0.644084,3.434456444779105
19477,176,0.651492,3.567456127262502
14380,904,0.65882,6.623025968696876
9899,578,0.666095,6.095907518605592
4193,1619,0.673094,15.42306656959493
2933,1379,0.680007,12.456553737113
1395,617,0.686717,8.046405326813137
567,451,0.693271,7.023365902800192
377,318,0.699631,5.292836477798974
290,270,0.705923,4.430094839106765
232,196,0.71212,3.729560928164513
168,156,0.718229,3.3272799542891214
164,151,0.724175,3.0253421553521256
138,108,0.729897,2.7403286894258856
136,105,0.735592,2.5923345738404286
101,88,0.741108,2.4819113761723037
89,76,0.746569,2.319700431281098
81,74,0.751854,2.2406607400481975
74,71,0.757094,2.158110544819807
74,71,0.762201,2.079079390577757
68,56,0.767163,1.9759874933966681
67,53,0.77201,1.9141234264660731
67,51,0.776658,1.864096318650321
66,48,0.781179,1.8134137034379698
50,47,0.785762,1.7702275039908886
48,47,0.790248,1.7229299363057324
47,42,0.794649,1.6762031838169769
45,42,0.798943,1.6337854439288362
45,41,0.803219,1.6063745991737006
32,31,0.807366,1.5753812930220004
28,28,0.811473,1.5437417452142133
28,28,0.815432,1.518627281002124
28,26,0.81932,1.4969338056232013
25,21,0.823064,1.4717355427951349
25,21,0.826742,1.4496935206455113
20,19,0.830346,1.4304879342662125
19,19,0.833933,1.412779179487797
19,19,0.837493,1.3953245090980697
19,18,0.840892,1.3819606807954345
19,18,0.844287,1.3697122269816906
19,18,0.847522,1.3589960518894528
19,17,0.850661,1.345315021528201
19,17,0.853822,1.3328886699776985
19,17,0.856967,1.3228695475869205
19,17,0.859931,1.3132384753228765
18,17,0.863006,1.3031227645006351
18,17,0.865935,1.2956327154738374
17,17,0.868822,1.2856957721569167
17,16,0.871597,1.274907907136126
17,16,0.874214,1.2676688979695674
17,16,0.876808,1.2592619650626664
17,16,0.879348,1.2528511752809735
17,16,0.881904,1.2450464029264328
16,16,0.884363,1.2378996342001263
16,16,0.886749,1.2316094339122834
16,16,0.889112,1.2250378760551186
16,16,0.891434,1.2172503362010205
16,15,0.893693,1.211481840330364
16,14,0.895924,1.2069064914101233
16,14,0.898047,1.2001118162290467
16,13,0.900227,1.1924769226143346
16,12,0.902298,1.1865059057132914
16,12,0.904378,1.1812971910229864
13,12,0.906453,1.1762215784578876
13,12,0.908479,1.1714469903082352
13,12,0.910476,1.166335284393012
13,12,0.912366,1.1623000205399732
12,9,0.914255,1.1565105837075047
10,9,0.915952,1.1530316009899104
9,8,0.91768,1.1474854227405247
9,8,0.919438,1.1428092649139794
9,8,0.921137,1.1399769220039815
9,8,0.922767,1.1371563968769827
9,8,0.924396,1.134662187185863
8,7,0.926011,1.1307491654164807
8,7,0.927574,1.1264739182061692
7,7,0.929161,1.1227431217267325
7,7,0.930708,1.118469664607747
7,7,0.932189,1.1155417262685996
7,7,0.933615,1.112540483542969
