s1,s2,frac_Gd,sus
972899,6,0.016251,0.014975364650942466
954983,6,0.032397,0.017883367455454355
937030,8,0.048407,0.02158170562414814
918990,8,0.064362,0.0254778023124328
900469,9,0.080401,0.030767758555631314
882170,9,0.0961,0.03644650956964266
863992,9,0.111584,0.04288756618521053
845364,9,0.12721,0.05016556101696857
826760,12,0.14253,0.0586072982145148
808052,12,0.157686,0.06855638158691414
789061,13,0.172864,0.08015247794800372
769915,15,0.187854,0.09290817168341653
750576,15,0.202623,0.10918925426742933
730762,15,0.217551,0.1276287655808877
710883,15,0.23219,0.14752738307654237
691275,25,0.24656,0.17034534933106818
671380,25,0.260826,0.1960918538801419
651455,19,0.274865,0.22354458135381688
631501,21,0.288742,0.2538474083947035
611519,31,0.302364,0.2900180036580681
590529,31,0.316044,0.33763429226441466
570002,31,0.329385,0.3850719116035281
548782,27,0.342487,0.4468489596403417
527781,27,0.35568,0.4989803203377204
505782,36,0.368721,0.5829197549736329
484186,38,0.381367,0.6697266392190523
462933,38,0.393712,0.7677753806771699
441320,40,0.406012,0.8731927244321435
418983,41,0.418155,1.0128848748378005
396472,57,0.430302,1.1564442915369195
373630,70,0.441945,1.3682002669987725
350732,68,0.453477,1.601628842701954
326528,86,0.464993,1.8721082154065274
302175,86,0.476411,2.2543941908634446
278520,84,0.487401,2.6293945169616015
253149,183,0.498245,3.264696913832448
230121,143,0.509048,3.6918293438055043
204488,280,0.519587,4.639930643009244
178261,203,0.529792,5.861620814618211
155058,224,0.540096,6.778314604787086
130822,363,0.550027,8.318545779413432
104445,330,0.559957,10.74443179416557
76571,774,0.569715,18.187880125963023
50216,980,0.579111,30.52445894285667
10237,3568,0.588495,125.36122768860646
2625,1933,0.597886,60.881419199530484
1604,1466,0.606692,38.259211610239305
886,752,0.61551,25.837290956851934
685,533,0.624256,18.63760166496338
466,432,0.632786,14.951897258819109
432,337,0.64103,12.08527174972839
287,234,0.649239,10.344707649938277
218,201,0.657316,9.016627563586278
162,140,0.665132,7.984794008385394
148,120,0.672833,7.1297747022163
144,106,0.680469,6.470567800933242
132,106,0.687904,5.906112221880447
132,104,0.695311,5.460285733977925
131,99,0.702395,5.104658859898187
131,99,0.709233,4.789731984716285
124,75,0.716156,4.500042276743564
81,66,0.722949,4.270433963421897
69,66,0.729569,4.054956717240257
57,52,0.735973,3.8298810348941585
55,50,0.742131,3.6626736831491957
55,50,0.748187,3.5103429926175376
52,48,0.754051,3.378842768216175
52,47,0.760029,3.2543057286088737
49,47,0.765887,3.1307103834473096
49,46,0.771511,3.0031205003304318
49,46,0.77675,2.898181410974244
49,45,0.782047,2.803072221992815
49,38,0.787333,2.709400142006047
49,37,0.792411,2.619994315691101
44,26,0.797448,2.549666258541017
44,26,0.802287,2.484980754932655
44,26,0.807279,2.4124459711188715
36,24,0.811984,2.3553952855076163
36,24,0.816404,2.3024357829146607
24,22,0.820822,2.2526202993671096
24,20,0.825153,2.200009150857607
23,20,0.829457,2.156031030297344
23,20,0.833681,2.1094763677030284
23,20,0.837751,2.0700528200481974
23,18,0.841704,2.028813109617426
23,18,0.845596,1.9906414341597367
18,17,0.849325,1.950389912062386
18,17,0.853009,1.9145730010680926
17,15,0.856626,1.8816731066999595
17,15,0.860253,1.851474450256535
17,15,0.8636,1.8228372434017595
17,15,0.866998,1.7926873280101052
17,15,0.870297,1.765094099596771
17,14,0.873568,1.737511073146039
17,14,0.876756,1.712026548959787
17,14,0.879763,1.6894965775925879
17,14,0.882679,1.6677662140622735
17,13,0.885712,1.6467433151336974
17,13,0.888718,1.6283945292140687
17,13,0.891515,1.610010600543854
17,13,0.894271,1.5842956993823833
14,13,0.89695,1.5660553129548762
14,13,0.899589,1.5493422035434365
14,10,0.902101,1.534285334885954
14,10,0.904532,1.5200067038169858
14,9,0.906918,1.5056831610837755
14,9,0.909211,1.4925045985747172
10,9,0.911531,1.4774553798505692
9,9,0.91373,1.4623971253042773
9,9,0.915829,1.4507134286155565
9,9,0.917927,1.4396208253627867
9,8,0.919967,1.4253620381592593
9,8,0.921965,1.414929198436599
9,8,0.923929,1.4033994557715819
9,8,0.925829,1.393752275147969
9,8,0.927696,1.382980194733348
9,8,0.929478,1.3727205694676838
9,8,0.931297,1.3642199030610016
9,8,0.933048,1.3537609033337317
9,8,0.934689,1.3463888165852613
9,8,0.936358,1.3377800823355646
9,8,0.937983,1.3288614412177306
9,8,0.939622,1.31887442445924
9,8,0.941113,1.3108835566423829
9,8,0.942566,1.302103283769196
9,7,0.944044,1.295321323897348
9,7,0.945391,1.2889450456884397
7,7,0.946828,1.2800910253516888
7,7,0.948168,1.2715889797808304
7,7,0.949465,1.2651033936875433
