s1,s2,frac_Gd,sus
971075,6,0.017938,0.015063203748846813
951331,6,0.035729,0.018583987281583704
931677,7,0.053298,0.022455851999890145
912107,8,0.070551,0.02718599944698418
892299,8,0.087733,0.0326461441661268
872508,8,0.104572,0.03904278177586584
852711,9,0.121154,0.046703290451341875
832466,13,0.137715,0.05664600451126948
812603,13,0.153933,0.06611060353376269
792707,13,0.169733,0.0778689265019566
772564,13,0.185443,0.09198987916131099
752476,14,0.200947,0.10691280803651322
731929,14,0.216283,0.12609143351490398
711493,16,0.231249,0.14721021501110243
690639,16,0.246145,0.1727918498915574
669783,16,0.260873,0.20049599054019132
648700,19,0.275308,0.23256500692708074
627572,21,0.289432,0.26911991533533736
606800,21,0.303271,0.3089651787136749
585000,23,0.317078,0.3590219673696264
563621,48,0.330511,0.4172017762801181
541580,45,0.344002,0.48100146646788555
519237,44,0.357106,0.5628812836952903
496387,37,0.370126,0.6529671013567793
473057,40,0.383022,0.7644081312461708
450025,61,0.395521,0.8890432918265151
427102,60,0.407872,1.020272643752702
403602,58,0.419916,1.1848456430448004
380064,55,0.4318,1.3680816613868356
356615,68,0.443399,1.5918261016419302
332874,63,0.45473,1.8426614337850973
308160,102,0.466152,2.1928638863496728
283654,99,0.477235,2.6178971430757607
258838,93,0.488046,3.0793625989835025
233387,195,0.498765,3.7107025646652767
207843,191,0.509176,4.603285495411797
183683,242,0.519406,5.653809660545075
156242,371,0.529378,7.779729804386535
130373,289,0.539272,9.3896637495442
105695,291,0.548754,11.57196518085479
76168,973,0.558331,19.602885871546338
44686,1922,0.567683,41.0103905236204
24768,1842,0.576849,49.720390593428824
14516,1222,0.58582,38.595417451349654
1823,1432,0.594695,41.23443826254302
946,653,0.603175,24.846683046683047
823,444,0.611445,17.59718958705975
447,380,0.619898,14.13974406869735
369,366,0.628003,12.12117302021253
252,231,0.636017,10.254624529167572
220,216,0.643794,8.954734058381948
218,198,0.65151,7.868036385549083
159,148,0.659171,6.949173925927664
140,111,0.666563,6.330332266665067
119,110,0.673861,5.880314835085653
116,105,0.680985,5.4289766938858675
105,84,0.687924,5.05973865340494
105,79,0.694673,4.737936703927265
102,79,0.701292,4.471088822529025
99,79,0.707771,4.225549141255659
98,74,0.714052,4.007001272958719
95,74,0.720186,3.819540837842281
74,58,0.726428,3.6439913441434064
70,58,0.732503,3.496050422995398
61,48,0.738489,3.352677325236797
61,43,0.74435,3.203493056913749
60,42,0.749994,3.0838379878882907
60,40,0.755596,2.9764488306247032
56,40,0.761127,2.8787891473711973
38,31,0.766458,2.7834650726635894
38,31,0.771698,2.702534362379655
26,25,0.776732,2.624316964365695
26,25,0.781756,2.5455270247979325
26,25,0.78658,2.4794864586261833
25,25,0.791243,2.4249917368040355
25,25,0.796076,2.363689413703144
25,24,0.800677,2.2993834128525057
25,22,0.805072,2.248332717721415
25,22,0.809523,2.2010951453456324
25,20,0.81381,2.155534668886621
23,18,0.818104,2.1056262919470465
23,18,0.822319,2.066703811887596
17,17,0.826424,2.0236150159008157
17,17,0.830433,1.9847729805917425
17,17,0.834278,1.9502118004851499
17,17,0.83805,1.919364001234949
17,17,0.841748,1.885227358895938
17,16,0.84531,1.8548516387613938
17,15,0.848804,1.8297111034683458
17,15,0.852253,1.801539117545534
17,15,0.855655,1.7753437943815165
17,15,0.85897,1.7495922853293626
15,14,0.862138,1.7228170199184691
15,14,0.865248,1.6972735098551412
15,14,0.868266,1.6782531464921737
15,14,0.871298,1.6586300135196035
15,13,0.874193,1.6366020968626547
14,13,0.877171,1.6150827573292952
14,13,0.87996,1.5961012995668111
14,13,0.882668,1.578853168786009
14,12,0.885357,1.562755685039645
14,12,0.88798,1.5477236207820033
14,12,0.890541,1.5350861966581095
13,12,0.893079,1.5210482505775291
12,11,0.895488,1.5085540416411511
12,11,0.897835,1.4940635246904517
12,11,0.900163,1.481224395765097
11,10,0.902429,1.466993266441873
11,9,0.904626,1.4522721077023089
11,9,0.906813,1.440157961947482
9,9,0.908941,1.4291173854314236
9,8,0.910964,1.41730311334741
9,8,0.912941,1.4071147153080095
9,8,0.914911,1.3975954588724746
9,8,0.916927,1.38461353267608
9,8,0.918858,1.3735057060461906
9,8,0.920695,1.3639745287182397
9,8,0.922554,1.3541435322676445
9,8,0.924398,1.3442104706224702
8,7,0.926144,1.3357344020797226
8,7,0.927808,1.3250221631205674
8,7,0.92948,1.3160805445263755
8,7,0.931054,1.3089374292924898
8,7,0.93266,1.3008910008910008
7,7,0.934213,1.2943286667578702
7,7,0.935704,1.2853521214383477
7,7,0.93725,1.277816733067729
7,7,0.938685,1.270586316562016
7,6,0.940093,1.265294539870132
7,6,0.941457,1.2580838016500693
