s1,s2,frac_Gd,sus
972252,7,0.016952,0.01483549124762982
953432,6,0.033971,0.017901118910508898
934197,7,0.051093,0.02180192579462476
914970,8,0.068066,0.02614992048793155
895647,8,0.084787,0.03166038943939826
876218,13,0.101446,0.03763602410094441
856627,13,0.117831,0.04539946427498586
837113,10,0.134063,0.05354200132342191
817582,11,0.149937,0.0637376288580964
797806,11,0.16576,0.07472909474491753
778141,13,0.181338,0.08712386796993142
758202,13,0.196714,0.1024715979115782
737684,22,0.212099,0.12107993263113005
717055,22,0.227289,0.14117567887606103
696818,22,0.241987,0.16405655311980138
676485,22,0.256478,0.18920354744042545
656150,22,0.270586,0.21915126389128808
635385,28,0.284634,0.25426285286133254
614542,28,0.298509,0.2917913415852805
593457,28,0.312306,0.3335160696472559
572578,28,0.32574,0.37880342894432417
550770,29,0.339074,0.44315097302875056
528873,35,0.352354,0.5146654190715299
507569,37,0.365086,0.5937323795033658
485834,38,0.377847,0.6818338897345186
463391,38,0.390347,0.7917913960892508
440463,50,0.40278,0.9151853588292421
418023,48,0.414787,1.044399218745995
395133,52,0.42676,1.191760868048287
371813,91,0.438473,1.4103079638200835
348038,77,0.449868,1.6468556637316134
323813,102,0.461332,1.978248197405452
299870,122,0.472284,2.362111438728407
274291,142,0.483308,2.863893770369969
249870,251,0.494109,3.465709016369139
225177,284,0.504774,4.151019938371571
198316,236,0.515057,5.287060541135762
171838,175,0.525142,6.241899683694915
142241,573,0.53538,9.501659420601783
115743,421,0.545356,11.9104068238006
89756,544,0.55508,15.234087026881237
65705,715,0.564578,19.1946594338366
36814,1100,0.573931,38.54518164898174
5235,4397,0.583246,131.23773976974425
2913,1734,0.592086,49.958939874581404
2039,914,0.600981,28.579521275929217
1343,773,0.609584,21.151584463751487
563,445,0.618173,16.10637801936479
354,317,0.626593,12.953241369336943
340,302,0.634658,11.144806783780677
318,263,0.642518,9.694004173636715
189,188,0.650417,8.472425718641924
181,157,0.658194,7.6000392035248066
155,145,0.665746,6.871495928246184
123,119,0.673106,6.234311428169376
112,112,0.680387,5.722179635997284
101,84,0.68761,5.262764493101572
96,78,0.694527,4.8963378105429936
95,76,0.701394,4.597379155140888
95,70,0.708241,4.356808187579475
94,62,0.714783,4.11611159222627
94,61,0.721233,3.9090746035219377
83,60,0.727542,3.737159488801944
81,55,0.733662,3.5614106886737904
49,48,0.739732,3.404679023160742
47,44,0.745566,3.272491097887861
47,43,0.751432,3.152775095748447
47,36,0.757098,3.026887386682695
40,36,0.762709,2.9198368248269
35,33,0.768058,2.827374947185072
33,31,0.77347,2.7289674656778353
33,29,0.778706,2.6534338933726174
33,28,0.783805,2.5764240616110454
31,28,0.788836,2.506682010191131
31,28,0.793558,2.44153321514033
31,28,0.798235,2.38190964736203
31,25,0.802876,2.325099937095432
31,24,0.807402,2.2703091413202627
31,24,0.811951,2.215869268116289
30,22,0.816342,2.1660042034651363
29,22,0.820594,2.1238364380232544
23,22,0.824609,2.0835390641481033
23,21,0.828694,2.0425729396518513
23,19,0.832657,2.0048164548263148
19,18,0.836409,1.966611855175407
18,18,0.840182,1.9310590797031624
18,18,0.843842,1.89850023693951
18,18,0.847504,1.86685552407932
18,14,0.851029,1.8352095374267474
18,14,0.854444,1.8087746296957872
18,14,0.857812,1.7826398852223817
14,14,0.861144,1.7556893472374258
14,13,0.864463,1.7316378553457727
14,13,0.867587,1.708329242597026
14,13,0.870683,1.6858340357416273
14,13,0.87375,1.6653148514851486
14,13,0.876673,1.6451304256164505
14,13,0.879688,1.6238280470775983
13,12,0.882493,1.602985354064013
13,12,0.885164,1.5821606464871643
13,12,0.887915,1.5627960922514164
13,12,0.890527,1.5461529326865986
13,12,0.893129,1.5271495541353595
13,12,0.895632,1.5122547140886096
13,12,0.898102,1.4972128991736835
13,12,0.900442,1.4809558247453745
13,12,0.902805,1.4662688409897628
13,12,0.905182,1.4530047037482334
13,12,0.907516,1.4396544267116473
13,12,0.909677,1.4250855263886275
13,12,0.911849,1.4126895894544589
13,12,0.913969,1.4013088305378294
13,9,0.915992,1.3906175602323587
13,9,0.918006,1.3809669000170743
13,9,0.920027,1.3713378265164493
9,8,0.921957,1.3614545827300335
9,8,0.923813,1.3536430099623296
8,7,0.925602,1.3440146240490336
7,7,0.927393,1.3343341551090115
7,7,0.929131,1.32774555870691
7,7,0.930848,1.3182120546043499
7,7,0.932528,1.3095061655205122
7,7,0.934091,1.3021590374607412
7,7,0.93568,1.2949782338308458
7,6,0.937207,1.2866083799149586
7,6,0.938704,1.2800345862699034
7,6,0.940121,1.272900349037225
6,6,0.941544,1.2661831120843028
6,6,0.942915,1.259612858018744
6,6,0.944281,1.2534862434717062
