s1,s2,frac_Gd,sus
972030,6,0.016996,0.015029440368503079
953470,6,0.033766,0.01815709238134862
935052,7,0.050284,0.021659106511841435
916392,10,0.066716,0.026052091324827168
897484,10,0.083082,0.03131141497931113
878385,10,0.099321,0.03797801436471818
859527,10,0.115211,0.04490562156627173
840527,10,0.130985,0.053198161136459095
821527,13,0.146534,0.062485207377915464
802448,15,0.161935,0.0732532679446105
783018,15,0.177258,0.08612420418551624
763486,15,0.19233,0.09990961655131428
743701,15,0.207405,0.11627628233839477
724130,15,0.222254,0.1332260146628848
704087,15,0.236889,0.15605069249427672
684410,15,0.251203,0.1774165761882059
664178,18,0.26552,0.20563936390371418
643750,20,0.279611,0.23600443649195088
622919,24,0.293524,0.2745981462923015
602053,25,0.307321,0.3166372879789917
581112,24,0.320928,0.36146682531454694
560382,33,0.334137,0.41321863506457035
539175,33,0.347376,0.47632480570742114
517708,32,0.360199,0.553845648881449
495349,43,0.373016,0.6474726627792735
473983,35,0.385546,0.7269559641567961
452074,40,0.39789,0.8446596136918503
429437,48,0.410176,0.9755876329210069
406570,64,0.422325,1.1387943047561344
384123,57,0.434215,1.3127954965225306
361014,87,0.445716,1.5367573301773099
337478,103,0.457096,1.8172199873274095
313831,92,0.468295,2.0905013118176434
289393,101,0.479438,2.4824919990318155
265120,117,0.490316,2.995165632038675
240867,178,0.501031,3.6130821754457694
215992,156,0.511661,4.4450084879561125
192640,234,0.522,5.068
167620,303,0.532121,6.678442503296792
143076,235,0.542159,7.784481948973552
116313,288,0.552067,10.221430437141269
88744,507,0.561899,15.302656236803841
65294,863,0.571545,20.92618594718232
38999,1575,0.580795,35.118164144034544
12869,3396,0.590012,75.65288984067827
3095,2180,0.598976,55.88369025295244
818,728,0.607757,29.792524022098547
757,518,0.616445,21.922107650793237
482,408,0.62496,16.743120733788395
467,373,0.633372,13.674866622298351
365,298,0.641508,11.384585987971837
232,176,0.649606,9.549661238491527
167,165,0.657463,8.418109576483708
164,154,0.665091,7.626199952823006
156,147,0.672634,6.915880085286805
140,97,0.679898,6.327433130689593
116,97,0.687177,5.842105599652199
92,90,0.694351,5.406531675222232
92,87,0.701456,5.056762152312557
92,81,0.708439,4.706517675546455
90,65,0.715015,4.424566205238873
88,64,0.721552,4.192236970637246
85,53,0.727976,3.9711091668382204
81,51,0.734174,3.7807174617983192
73,45,0.74028,3.5913868781764977
57,43,0.746223,3.441336291310875
43,41,0.752196,3.3066496101757843
41,41,0.757912,3.188811506559598
41,36,0.763623,3.0566341056871016
35,34,0.76901,2.9568855794623143
35,29,0.774421,2.8612149180553152
28,26,0.779704,2.769528271053492
26,26,0.784914,2.682722259933236
26,26,0.790002,2.6035486052248116
26,26,0.794884,2.5299440316698845
26,22,0.799638,2.459039139158124
22,22,0.804432,2.395350977665058
22,21,0.809101,2.331185600762707
21,20,0.813603,2.2776654130699527
21,20,0.818089,2.229134027079176
21,20,0.82243,2.180137410598637
21,19,0.826742,2.1388738182363873
21,19,0.830857,2.094452622928528
21,19,0.834937,2.0514712564293633
21,19,0.838856,2.018896142580549
21,19,0.842775,1.976632214978534
21,18,0.846474,1.94131938564152
19,18,0.850211,1.9098598695498334
19,16,0.85379,1.8762396552903358
19,16,0.857301,1.845619100344081
16,14,0.860707,1.81671010029219
16,14,0.863986,1.7905215639566516
16,14,0.867267,1.7675257848462704
15,14,0.870474,1.7388709602705248
15,14,0.873651,1.713381190195411
15,14,0.87682,1.6910618606916707
15,14,0.879827,1.6688274404400323
15,14,0.882634,1.6493618254008826
15,14,0.885519,1.632166036285497
15,14,0.888368,1.6111061344417372
15,14,0.891088,1.5894575437050096
15,14,0.893681,1.5706694005775073
14,14,0.89621,1.5534637248289815
14,12,0.898774,1.533123900974058
14,12,0.90126,1.5165890216730809
14,12,0.903696,1.5033851138062801
14,12,0.905983,1.4873799419253966
14,9,0.908308,1.4737599790603324
12,9,0.910531,1.4605617588214912
12,9,0.912664,1.446047448932857
12,9,0.914859,1.4338215430873493
12,9,0.916899,1.4233643397793048
12,9,0.918932,1.41355405338728
12,9,0.920895,1.402149042411984
12,9,0.922815,1.3915268510720995
12,9,0.924643,1.3798452698488528
12,9,0.926418,1.3714767198499633
12,9,0.928257,1.3627113446608032
12,9,0.929938,1.3530301732750991
11,8,0.931658,1.342878464194785
11,8,0.933425,1.333894104393541
11,8,0.935096,1.3240324171083446
10,8,0.936748,1.3171757414785303
10,8,0.938314,1.3085951431443115
10,8,0.93992,1.2995672436750998
10,8,0.941393,1.2923541556469365
10,8,0.942849,1.2845794474287413
10,7,0.944209,1.2778584359484504
9,7,0.945542,1.2713100003672555
9,7,0.946912,1.2645607293550332
