s1,s2,frac_Gd,sus
917234,9,0.016841,0.08307201581839764
897735,9,0.033631,0.08897429449827136
878444,9,0.050251,0.09485348234112381
859271,9,0.066629,0.10166589705486885
839878,9,0.08298,0.10899871322326667
820820,9,0.099005,0.11671873872773988
801549,9,0.115119,0.12494787434694608
782494,16,0.13093,0.13472102362295327
763665,16,0.146639,0.14351253455454374
744569,16,0.162108,0.154641648326992
725596,20,0.1774,0.16650619985412107
706771,16,0.192496,0.17831366779607283
688490,16,0.207297,0.18953756955631554
669826,11,0.222221,0.2036298228674212
651430,12,0.236828,0.21833086119511722
632914,12,0.251431,0.23426698140051216
614292,15,0.265721,0.25300056245650493
596175,15,0.279845,0.27112774333303247
578382,15,0.29356,0.2903204801540117
560500,15,0.307236,0.31147692432054785
542532,15,0.32086,0.33556556821862943
524803,20,0.334057,0.361925870532463
506937,20,0.347289,0.3903350793842911
488675,17,0.360461,0.42654161825940246
470969,19,0.373203,0.4585599484362561
453377,24,0.385743,0.4975865150905891
435896,33,0.398216,0.5403467024713187
418670,33,0.410435,0.581233621398828
401374,33,0.422468,0.6327026034921008
383960,49,0.43435,0.6989127552373375
366724,47,0.446117,0.7592632379040339
348934,46,0.457951,0.8342880440698166
331603,45,0.469329,0.9159761886366505
315273,44,0.480134,0.9933386680413799
298667,44,0.49114,1.0895000589553119
282219,60,0.501959,1.1999614489570136
265349,59,0.512446,1.3336963700431133
248887,58,0.522791,1.4763133134538535
232858,87,0.532913,1.652328152999334
216501,81,0.542905,1.8333344271978473
199329,86,0.552736,2.1270860163125134
183199,112,0.562398,2.405603722103647
166001,135,0.571954,2.861970442429085
150125,130,0.581423,3.1504645501305615
133536,147,0.590618,3.73564055087913
116345,172,0.599599,4.668399929071106
100377,190,0.608359,5.42806805211916
83477,228,0.617,6.854488250652741
67175,340,0.62533,8.637134011263244
53269,440,0.6337,10.022514332514332
37440,673,0.641731,15.363129380437604
23325,1028,0.649688,21.592194957637762
3044,2161,0.657598,67.92043270775288
1717,1351,0.665375,31.434638774747853
720,659,0.672778,19.782178459883504
513,441,0.680298,14.204593652839206
473,365,0.687521,11.57518425238176
319,234,0.694632,9.406411280815279
289,200,0.701644,7.751132874820684
161,150,0.708396,6.890389020726739
143,130,0.715104,6.029031646635965
141,113,0.721647,5.350932089828383
135,108,0.728146,4.893027139567562
120,96,0.734587,4.463643453787117
102,95,0.740632,4.1791200148052186
101,93,0.74651,3.9116690993727565
80,73,0.752453,3.6702969537098005
66,58,0.758082,3.4569316875966236
66,58,0.763731,3.2948418963131005
57,55,0.76926,3.139355985091445
56,55,0.774566,2.9879343843430894
50,49,0.779721,2.8650620349647493
45,42,0.784904,2.741859448804255
44,42,0.789922,2.6450080446310418
44,42,0.79472,2.5472135619641465
37,35,0.799559,2.455784994088036
37,35,0.804298,2.3675946081286856
36,29,0.809016,2.294087462824111
31,29,0.813603,2.2271710381604852
31,28,0.817991,2.1681455312649374
31,28,0.822221,2.112847974170178
28,23,0.826411,2.058845894613138
23,23,0.830517,2.009487677230165
23,23,0.834375,1.9616603773584906
23,21,0.838357,1.9137234522992026
23,20,0.842081,1.8741886663416054
22,20,0.845778,1.8397634578724176
20,19,0.849448,1.806923853552261
20,19,0.853039,1.7715788542538498
20,19,0.856526,1.739018916319333
20,17,0.859894,1.710362154368835
20,17,0.863108,1.6842474359348976
19,13,0.86632,1.657772292040694
19,13,0.869458,1.6305020606394878
13,13,0.872549,1.6025766765266651
13,13,0.875471,1.5818323442732214
13,12,0.878481,1.5627844205432895
12,12,0.881362,1.5432660698932887
12,12,0.88402,1.5263321262286602
12,12,0.88683,1.5076787134399576
12,12,0.889422,1.4913997359330067
12,12,0.891981,1.4774160101463631
12,12,0.894593,1.4604817516863207
12,12,0.897039,1.4444207029846252
12,12,0.899393,1.4268291470772412
12,12,0.901764,1.4143694775845923
12,12,0.90414,1.4001877738368453
12,11,0.906479,1.3876348627580972
12,10,0.908723,1.3716598924153949
12,9,0.910871,1.358087715558348
11,9,0.912961,1.3453049782281505
10,9,0.915012,1.3364945639384385
9,8,0.91704,1.3240477338476375
9,8,0.918989,1.314216587870783
9,8,0.920885,1.3039246666245339
8,8,0.922741,1.2943864145277573
8,8,0.9246,1.2853315649867374
8,8,0.926439,1.2761245768817715
8,8,0.928248,1.2654699520570856
8,8,0.929955,1.2581768862873868
8,8,0.93154,1.2515337423312884
8,8,0.933159,1.242216603581634
8,8,0.934848,1.2338531434184676
8,7,0.936404,1.226586577772187
8,7,0.937878,1.221274266765397
8,7,0.939347,1.2145977940085404
8,7,0.940773,1.2083846894153005
8,7,0.942088,1.2042409172537643
6,6,0.943395,1.1990990195212436
6,6,0.944724,1.1925247847166944
