s1,s2,frac_Gd,sus
917553,9,0.016567,0.08300717995023556
897829,9,0.033556,0.08894359114444293
878469,9,0.050232,0.09502425855577362
858848,9,0.066846,0.10206461098596802
839251,9,0.083413,0.10916585114124464
819828,11,0.099779,0.11697905292144929
800642,11,0.115934,0.12484588254723064
781350,11,0.131825,0.13420220577648515
761922,11,0.14767,0.1449673248624359
742963,11,0.163243,0.1551465957261188
724037,11,0.178591,0.16635561577728025
704887,11,0.19411,0.17828115499633945
685780,14,0.209342,0.19186550948703485
667115,14,0.22417,0.2067089439696841
648298,14,0.238786,0.22254976918448688
630019,14,0.252974,0.23985644408628348
611674,14,0.267162,0.25800517986239796
593397,20,0.281317,0.2771597491522688
575230,20,0.295302,0.29712586100712646
557390,20,0.30898,0.3188069809846314
539013,20,0.322653,0.3440806558529085
521147,20,0.33597,0.371463638691023
503615,20,0.349046,0.3988100541666539
486077,20,0.361915,0.4292939028499338
467963,21,0.374814,0.4667938821406749
450237,22,0.387462,0.5055539411432434
432708,22,0.399822,0.547720842816631
415089,29,0.412025,0.5983587737573877
397958,24,0.423853,0.6513181531796572
380494,27,0.43574,0.7120724488710878
363563,32,0.447253,0.7760838141138713
346283,33,0.45867,0.8512533944174533
328950,41,0.470085,0.9287055471160469
312138,50,0.481161,1.0232287858083142
295324,50,0.491943,1.128076180428574
278727,43,0.502502,1.237345677771569
262062,41,0.513158,1.3497931567120338
245466,70,0.523613,1.4951646455507812
228724,130,0.53379,1.7044207545955685
211669,125,0.54373,1.964080478663949
195245,119,0.553611,2.181469525458737
178289,112,0.56329,2.493725813468892
162557,112,0.572736,2.742915387207909
147561,105,0.582008,3.05250100480392
131838,180,0.591097,3.5686189634216428
115567,254,0.600196,4.570046822943242
99602,203,0.608913,5.431044754747665
83302,307,0.617273,6.999827553321297
67812,370,0.625696,8.757555356074207
53801,503,0.634061,10.397754817059674
38671,1003,0.642085,17.472137239288656
23932,777,0.650082,21.43070662269446
12762,1292,0.657952,33.53370871924408
2231,2201,0.66569,48.45322903891598
1718,1290,0.673138,25.453353402965167
878,795,0.680573,17.22485888794623
584,399,0.687918,12.253382123928967
491,280,0.694974,9.648138191498429
335,226,0.701825,8.166365389452503
242,158,0.70858,6.91148171024638
183,141,0.715223,6.075069264722924
176,130,0.721618,5.5167431802343545
170,126,0.727855,5.030829153576218
124,99,0.734147,4.60656453002223
114,94,0.740199,4.275114414494171
98,88,0.746062,3.964534650190204
75,57,0.751926,3.707954078218596
74,54,0.757657,3.5037158077600754
72,54,0.763246,3.3163283408094477
70,54,0.768743,3.1595021988523593
54,49,0.773926,3.002600918283394
51,46,0.779101,2.859696060190404
49,44,0.784157,2.745328780641485
44,43,0.78911,2.6416046280051213
39,37,0.794056,2.548959911432234
38,36,0.798801,2.4603154091223116
37,35,0.803324,2.389783196729647
37,35,0.807895,2.3202519455506105
32,26,0.812205,2.241949998668761
26,23,0.816543,2.172143881127458
26,23,0.820757,2.1227997746076555
23,23,0.824936,2.0664042864323906
23,23,0.828916,2.0165941876505107
23,23,0.832833,1.9668834159852124
23,23,0.836692,1.9210020329683788
22,21,0.840519,1.8824123249791511
20,19,0.844261,1.8417031058373303
20,19,0.847799,1.8112955893850895
20,19,0.851315,1.781262400376635
19,16,0.854766,1.7499139319993942
18,16,0.85826,1.7166219839142092
16,16,0.861529,1.6871619328234793
16,16,0.864782,1.6588471949000874
16,16,0.867883,1.6338775479310006
15,15,0.871013,1.61117011791886
15,14,0.873996,1.589862226595981
14,13,0.876949,1.5698125167613428
14,13,0.879778,1.5494834556071269
14,13,0.88264,1.5302828902522154
13,13,0.885469,1.5121670115514576
13,12,0.888136,1.4934474004147893
13,12,0.890767,1.476678293189787
13,12,0.893315,1.4587242817640718
13,11,0.895848,1.4422670712036254
13,11,0.898366,1.4266977586240825
13,11,0.90077,1.4096039504182203
13,10,0.903026,1.3957452513044735
12,9,0.905318,1.3843814030121881
12,9,0.907533,1.3710945526512162
12,9,0.909769,1.3595438374837916
12,9,0.911832,1.3479720533526902
12,9,0.913926,1.3370820456816228
9,8,0.915886,1.3262596000665763
8,8,0.917839,1.3158189408600187
8,8,0.919745,1.3062737524141799
8,7,0.921634,1.2968123931296736
8,7,0.923422,1.287993940818512
8,7,0.925221,1.2791425400179195
8,7,0.927006,1.2716935638545634
8,7,0.92876,1.264177428411005
7,7,0.930459,1.2575315281632418
7,7,0.932124,1.2495285520655313
7,7,0.933771,1.2416313095471772
7,7,0.935341,1.2353423344004701
7,7,0.936852,1.229255083296383
7,7,0.938283,1.2216083088938219
7,7,0.939753,1.2157949773432701
7,6,0.941151,1.2084147564104744
7,6,0.942528,1.2030728006681515
7,6,0.943827,1.1973367988179375
