s1,s2,frac_Gd,sus
918014,10,0.016002,0.08333756775928407
899405,9,0.032059,0.08888764914390443
880703,9,0.048068,0.09495321094363883
862068,9,0.063879,0.10123584451155353
843870,8,0.079483,0.10728644881083131
825174,10,0.095127,0.11499624809227373
806656,10,0.110537,0.12323727912234686
788118,12,0.126005,0.13157855594139556
769525,12,0.141347,0.14120022873034857
751298,12,0.156273,0.15117330605752807
732562,12,0.1716,0.16166586190246257
714218,12,0.186475,0.17282935373836084
695682,17,0.201372,0.18675778960917974
677037,17,0.216176,0.20058457000551144
659039,17,0.230488,0.21412921435923027
640526,17,0.245032,0.22924415339458096
622382,17,0.259063,0.24588190358964393
604391,14,0.273034,0.2638183904061538
586258,17,0.286977,0.28457847783311335
568161,17,0.300715,0.30624423518307986
550205,17,0.314113,0.3302905580656872
532344,16,0.327462,0.35472196366599357
514531,16,0.340844,0.38030299352505326
496552,20,0.353973,0.41250133508351816
478383,21,0.366889,0.44735915187068304
460603,20,0.379447,0.48378784729104524
442777,20,0.392104,0.5237030676299893
424848,32,0.404546,0.5709794543323246
407378,32,0.416625,0.6232166273837583
389879,29,0.42852,0.6825208231259187
372570,37,0.440253,0.7458601832613663
355219,36,0.452094,0.8186458991140816
337649,44,0.463736,0.8967616696254084
320484,35,0.475001,0.9868075939192266
303433,48,0.486179,1.0822601645320062
286419,66,0.497152,1.193742443044419
269860,65,0.507673,1.3155951227537794
252787,76,0.518357,1.4715255905307458
236059,72,0.528662,1.6274159944668158
218290,82,0.538814,1.8874727333440304
202442,81,0.54878,2.0805505075129647
184387,75,0.558811,2.4516613061522388
168036,90,0.568462,2.7151490714606825
151044,125,0.577819,3.196744997998489
135186,142,0.587263,3.5462558481551207
120097,190,0.596397,4.06902822823418
103759,185,0.605306,4.976222085970397
86938,328,0.614132,6.607135082463433
71729,245,0.62299,7.7231452746611495
56553,820,0.631403,10.432336671215447
43093,557,0.63981,10.932388461645242
28444,1463,0.647903,21.11860936048873
12566,1450,0.6559,38.64967741935484
2665,1429,0.663854,34.52620289993039
1192,688,0.671542,22.103623598755398
670,495,0.679117,16.500571859525124
642,366,0.686705,11.983054309835778
585,358,0.693932,9.80694812917391
361,248,0.700949,8.144296457794825
253,216,0.707797,7.006697398726228
174,168,0.714673,6.157464943731227
162,154,0.721213,5.54193344739891
161,132,0.727729,5.029533075501981
109,104,0.734187,4.559942515979278
104,96,0.740467,4.230132584295639
103,96,0.746514,3.9520959737421397
96,91,0.75248,3.7103910795087267
94,71,0.758412,3.4620924880374853
88,58,0.76416,3.284006105834464
56,54,0.769641,3.0944091613524978
54,51,0.775313,2.9333650812018495
52,48,0.78058,2.808959985416097
45,42,0.785905,2.680426913286158
40,40,0.791004,2.581877165113208
40,39,0.79597,2.4941920305837377
40,38,0.800766,2.409819609102864
40,37,0.805529,2.3381943837384496
40,37,0.810286,2.2683934764961995
40,37,0.81478,2.199881222330202
39,37,0.819232,2.1387358382014514
39,27,0.823488,2.0764877175489485
39,26,0.827713,2.0296365947517803
39,26,0.831736,1.9792171825227025
39,26,0.835712,1.934267871055707
33,26,0.839682,1.8951770855424843
33,26,0.843561,1.8575547018326632
33,25,0.847333,1.821742747286578
32,25,0.851013,1.788229845556995
32,25,0.854617,1.751091943349635
22,19,0.858011,1.7192528998725254
19,18,0.861382,1.691677848475667
19,18,0.864712,1.6630669386789663
19,17,0.867967,1.6394234774639673
17,16,0.871137,1.6158245578637778
16,15,0.87416,1.5908614113159567
16,15,0.877126,1.570454286504875
16,15,0.88015,1.5492198581560284
16,15,0.883017,1.5284528521238128
15,13,0.885826,1.5116138525408587
15,13,0.888654,1.4922583658146678
15,13,0.891368,1.4754676338463804
13,13,0.89398,1.454584040747029
13,11,0.896526,1.4370663161760442
13,11,0.898965,1.4226753105359529
13,10,0.901447,1.4058831288748186
13,10,0.903826,1.391883461226527
13,10,0.906212,1.375495799036124
13,10,0.908534,1.3629654735092822
13,10,0.910776,1.3500739711288443
13,10,0.912994,1.3371836425074133
10,9,0.915162,1.3279898158843915
10,9,0.917153,1.3181768802732747
10,9,0.919144,1.307534382111408
10,9,0.921153,1.2975129047395588
10,9,0.923089,1.2909336765872241
10,9,0.924964,1.2827975904898983
10,9,0.926831,1.271699763561071
9,9,0.928609,1.264641201271869
9,9,0.930334,1.2557775672494473
9,9,0.932005,1.2478270461063314
9,9,0.933602,1.2406548390011747
9,9,0.935201,1.2340622540471304
9,8,0.936747,1.2265030907624934
9,8,0.938308,1.2203689295208455
9,7,0.939803,1.2124192235493463
9,7,0.94118,1.207599455967358
7,7,0.942622,1.2008261005960472
7,7,0.943923,1.1955347112006705
7,7,0.945222,1.190350140567381
7,5,0.946555,1.1828608850219853
