s1,s2,frac_Gd,sus
917683,8,0.016346,0.08300377978435507
898667,8,0.032766,0.0885339018272724
879627,8,0.049061,0.09467484244520416
860506,9,0.065271,0.10152354318738373
841557,9,0.081286,0.10876398966381268
822609,11,0.097236,0.11645236185758404
803882,11,0.112844,0.12453277664807542
784872,11,0.128507,0.13349160578455593
766005,11,0.143983,0.14315369905036932
747260,11,0.159121,0.1543587127279906
728716,11,0.174359,0.16479922872047295
710306,11,0.189343,0.17628294087388377
691774,11,0.204139,0.18912222109137147
673173,14,0.218978,0.20289953420006093
654557,14,0.233578,0.2183483772647445
636159,12,0.248013,0.23429926315215555
617686,14,0.262277,0.25262463011184416
599309,14,0.276359,0.2717231334321853
581251,15,0.290303,0.29123696450738834
563547,15,0.303981,0.3119138989021851
545497,19,0.317542,0.3361686726509177
527735,17,0.330988,0.36065870268395783
509868,18,0.34427,0.3873637015234929
492519,18,0.357143,0.41730898162421814
475117,24,0.369861,0.4524335107016071
457276,32,0.38258,0.4933303099996761
439725,32,0.395134,0.5339347888623265
422329,32,0.407351,0.5792264898784947
405054,32,0.41933,0.6303614789811769
387618,32,0.43139,0.6874377868838044
370636,31,0.442989,0.7466836382046315
353622,31,0.454738,0.8041785416918839
335932,31,0.466137,0.890990759801672
318628,34,0.477518,0.9708430146875873
301420,40,0.488672,1.0709994367607485
284617,43,0.49937,1.1897988534446597
267363,53,0.510345,1.3274979322175817
250528,51,0.520867,1.4636750129922171
233928,73,0.531037,1.6271966018641129
217495,77,0.54119,1.8096575924674703
200857,77,0.551013,2.052228683681265
184784,68,0.560689,2.297381581613026
168055,132,0.570408,2.6990702806383733
151734,128,0.579871,3.1338969697402463
135322,139,0.589065,3.637799165318116
120435,115,0.59817,3.9573526118010105
104900,277,0.606939,4.935653753488644
89000,461,0.615743,6.6048321826277725
73073,313,0.624206,7.776204516304145
55716,441,0.632643,11.006810813459387
37957,820,0.640867,17.029752208791727
24511,660,0.648992,19.33982986142766
3828,3155,0.656842,81.06414537909652
1550,1488,0.664614,37.08927027365483
1025,652,0.672215,19.640111658556677
824,442,0.679916,14.092481973481961
419,317,0.687358,11.143662719660187
354,261,0.694519,9.204523358244867
312,185,0.701492,7.874053626703472
161,157,0.708358,6.789663354386542
156,150,0.715182,6.042490292046149
126,109,0.721755,5.429693255943503
119,109,0.728183,4.997612364200915
98,93,0.734512,4.526057674923161
94,86,0.740634,4.200565995542978
85,76,0.74662,3.9135882863683005
79,66,0.75241,3.687099640534755
65,59,0.758247,3.4316761322506855
51,46,0.763824,3.246142707133663
40,40,0.769286,3.0814861690231194
40,39,0.774629,2.9498249552959344
39,38,0.779909,2.8271124216801233
37,36,0.785048,2.704506122297071
37,35,0.790052,2.60144893021129
36,34,0.794906,2.507425863262699
32,32,0.799693,2.4185225678583375
30,26,0.804419,2.336254544153062
26,26,0.809084,2.2673322298812044
26,25,0.813702,2.2008395151853484
26,25,0.818153,2.1429498424499718
26,24,0.822446,2.0873987631931694
26,24,0.826568,2.0357258176115134
26,23,0.830673,1.9853833115805513
25,23,0.834723,1.930698161268658
23,22,0.838711,1.8907675042935352
21,18,0.8425,1.8530222222222221
18,18,0.846195,1.8184129254575598
16,16,0.849961,1.7840494804684115
16,15,0.853554,1.7523319175668848
15,15,0.857062,1.7239852243630105
15,15,0.860554,1.6953300919352294
15,15,0.863854,1.6704787507528682
15,14,0.867086,1.6443038355628452
15,13,0.87024,1.617285758323058
15,13,0.873156,1.5925152155403488
15,13,0.876158,1.5698955120233846
15,13,0.879106,1.5484556719109301
15,13,0.88191,1.530197307138623
15,13,0.884746,1.5090061950127545
15,11,0.887538,1.4898988102648005
15,11,0.890157,1.4745591435048204
12,11,0.89271,1.4598378227234599
12,11,0.895251,1.4464195362246894
12,11,0.897833,1.4310981040844892
12,11,0.900337,1.4182093655619437
11,10,0.902654,1.4056766585170424
10,10,0.90495,1.392004208311415
10,10,0.907239,1.3791895300826855
10,10,0.909429,1.366651577215665
10,9,0.911632,1.3536800651819663
10,9,0.913763,1.3413847884318797
9,9,0.915754,1.33085250338295
9,8,0.91773,1.3212957335602284
9,8,0.919673,1.3103439690266037
9,8,0.921552,1.3007724862329186
9,8,0.923477,1.292996876756008
8,8,0.925292,1.282834502329068
8,8,0.927078,1.2744027865390417
8,8,0.92881,1.265149599662874
8,8,0.930477,1.2587057520532774
8,8,0.932115,1.2514841275686823
8,8,0.933702,1.2449847657546231
8,7,0.935246,1.238132007289125
8,7,0.936787,1.2280227168462183
8,7,0.938311,1.222016891179951
8,7,0.939807,1.2159719568720615
8,7,0.94123,1.2108558788497532
8,7,0.94267,1.20429094714809
8,7,0.943964,1.198943536298094
8,7,0.945352,1.1925413555848339
