# curve  peak  x  y
0 2010 733571 0.00014760622576477165
0 2010 733612 0.00027159409519305478
0 2010 733640 0.00039068594138785395
0 2010 733669 0.00049456336334159114
0 2010 733694 0.00056337747598175531
0 2010 733721 0.00062430756241693057
0 2010 733749 0.00069338711458629407
0 2010 733780 0.00074804312855554977
0 2010 733816 0.0007815294893873349
0 2010 733860 0.00077868438089843646
0 2010 733918 0.00074636793049455462
0 2010 733966 0.00071738171805930495
0 2010 734010 0.00068715085555785013
0 2010 734057 0.00065492750956896236
0 2010 734109 0.00062551227298218368
0 2010 734162 0.00058427849693376327
0 2010 734217 0.00054536404142435679
0 2010 734273 0.00052050012433096666
0 2010 734308 0.00047968230309089569
0 2010 734350 0.00044592939355984576
0 2010 734402 0.00042166097511111785
0 2010 734451 0.00036504783667143593
0 2010 734502 0.00034002902934399771
0 2010 734558 0.00030436836956516787
0 2010 734641 0.00025003019526867996
0 2010 734701 0.00021545981829555324
0 2010 734770 0.00017228764232910096
0 2010 734863 0.00013146741856804304
0 2010 735001 8.444505027695405e-05
0 2010 735180 3.8801900775779335e-05
0 2010 735538 4.0580633048956742e-05
1 2010 733804 0.00066554934350535728
1 2010 733834 0.001322276153685944
1 2010 733855 0.0019881094896325477
1 2010 733876 0.0026698335496109782
1 2010 733891 0.0033151561078614438
1 2010 733904 0.003912682177069424
1 2010 733920 0.0045325705030238904
1 2010 733929 0.0051698289348489617
1 2010 733937 0.0058654804682339249
1 2010 733946 0.0064594161965731622
1 2010 733958 0.0070742030596251948
1 2010 733977 0.007622009045325469
1 2010 734001 0.008126920675634133
1 2010 734017 0.0086314627138640923
1 2010 734037 0.0091365141018760095
1 2010 734063 0.0095537689592985926
1 2010 734120 0.0096237334654709489
1 2010 734220 0.0094042989833518099
1 2010 734331 0.0093313892938971053
1 2010 734437 0.0091262013240012083
1 2010 734525 0.0088832777138806232
1 2010 734627 0.0084584047550143593
1 2010 734739 0.0081364824778399833
1 2010 734842 0.0079010817929685406
1 2010 734963 0.0075143391009144175
1 2010 735046 0.0072620293471219099
1 2010 735145 0.0070763531294154797
1 2010 735298 0.0065236396207612865
1 2010 735427 0.006428405127118733
1 2010 735505 0.0060955557693746863
1 2010 735542 0.0063247955765026549
2 2010 733650 6.4129326602807823e-05
2 2010 733666 0.00012716397729993246
2 2010 733685 0.00017294587608678624
2 2010 733705 0.00021231907359756772
2 2010 733728 0.0002484082902289884
2 2010 733752 0.00027483836671273425
2 2010 733786 0.00029912639901475243
2 2010 733826 0.00031388286804478365
2 2010 733856 0.0003295284380800373
2 2010 733898 0.00034158444659475453
2 2010 733940 0.00035796117103504801
2 2010 733964 0.00035856998413893131
2 2010 733998 0.00034805459696547172
2 2010 734039 0.00032833669585903411
2 2010 734081 0.00030884465265862085
2 2010 734128 0.00029103230458580904
2 2010 734174 0.00026805638575857512
2 2010 734221 0.00024729454914324559
2 2010 734266 0.00022900951452398634
2 2010 734305 0.0002098334903876048
2 2010 734346 0.00018979422109977645
2 2010 734383 0.00017078632711530379
2 2010 734442 0.00014575699972296826
2 2010 734492 0.00013062806622750315
2 2010 734556 0.00011585138912201067
2 2010 734651 9.3460231558849911e-05
2 2010 734718 7.2360432609493684e-05
2 2010 734805 5.1496024986918699e-05
2 2010 734935 3.3339559567320906e-05
2 2010 735118 1.3709916168146981e-05
2 2010 735510 1.1132014560675046e-05
3 2010 733741 9.2610751563487398e-05
3 2010 733766 0.00017846074042171463
3 2010 733797 0.0002592613429737566
3 2010 733809 0.00033516464531287794
3 2010 733830 0.00040325424469171809
3 2010 733851 0.00045563698894827168
3 2010 733875 0.00050016579466831055
3 2010 733898 0.00053379434419630447
3 2010 733920 0.00055786320432270504
3 2010 733952 0.00057530461676547952
3 2010 733979 0.00057070129526237841
3 2010 734008 0.00056631567002813721
3 2010 734037 0.00054136560637601486
3 2010 734067 0.00052910052910052914
3 2010 734103 0.0005131153489335141
3 2010 734130 0.00050257996032210988
3 2010 734155 0.00047595354025442148
3 2010 734190 0.00044655828365616182
3 2010 734227 0.00041472531343942303
3 2010 734272 0.00038349947618994721
3 2010 734308 0.00034592936401439721
3 2010 734342 0.00032007276639369717
3 2010 734382 0.00028613314697260145
3 2010 734433 0.0002409662276924577
3 2010 734490 0.00019416458947627924
3 2010 734537 0.00015925979686640424
3 2010 734633 0.00012070667298557934
3 2010 734724 8.2974549322411298e-05
3 2010 734840 4.5617425335136015e-05
3 2010 735025 1.6331287911150917e-05
3 2010 735480 1.2730193728088154e-05
4 2010 733552 6.3853879619828188e-05
4 2010 733574 0.00011871616152939936
4 2010 733602 0.00016767236002936312
4 2010 733637 0.00020704524535856985
4 2010 733661 0.00024204488891636113
4 2010 733689 0.00026864002548956521
4 2010 733720 0.00028530459955285881
4 2010 733756 0.00032001135679401554
4 2010 733777 0.00032069580417115991
4 2010 733809 0.00033516464531287794
4 2010 733851 0.00033075870308837502
4 2010 733899 0.00031623278905790631
4 2010 733944 0.00029717035045419168
4 2010 733975 0.00026960233655358348
4 2010 734012 0.00026157139538922868
4 2010 734046 0.00023526426392335521
4 2010 734087 0.00021647090716989071
4 2010 734130 0.00019843930973035688
4 2010 734175 0.00018293285386012777
4 2010 734223 0.00017160416445496045
4 2010 734271 0.00015839419195541011
4 2010 734309 0.00014911022083223706
4 2010 734352 0.00013437280065795021
4 2010 734396 0.00012187080183429728
4 2010 734445 0.00010463324413037863
4 2010 734493 8.1569773208222605e-05
4 2010 734553 5.9411352321201535e-05
4 2010 734653 4.0013889265562843e-05
4 2010 734751 2.5459488905149795e-05
4 2010 734904 9.4160427111697375e-06
4 2010 735310 2.4822755185163274e-06
5 2010 733637 0.0018872970442300404
5 2010 733725 0.0034002577772929217
5 2010 733777 0.0048433289399182873
5 2010 733815 0.0061485650476134678
5 2010 733853 0.0073070764893886659
5 2010 733893 0.0081626326221674022
5 2010 733942 0.0090248635972831701
5 2010 733982 0.0097106302483416194
5 2010 734016 0.010235994215526399
5 2010 734050 0.010505862949323331
5 2010 734087 0.01070114825677698
5 2010 734127 0.010823391969625288
5 2010 734168 0.010759355221683531
5 2010 734206 0.01059752082593747
5 2010 734244 0.010491294694513058
5 2010 734288 0.010193641690754086
5 2010 734322 0.0098575277692192331
5 2010 734368 0.0095454113171659534
5 2010 734409 0.0091559738900155434
5 2010 734451 0.0086183032744604222
5 2010 734494 0.0080023062685660885
5 2010 734543 0.0073006147527002038
5 2010 734602 0.0066171158791982479
5 2010 734666 0.0059060017144442374
5 2010 734728 0.0051883571394204346
5 2010 734799 0.0044263415845306221
5 2010 734883 0.0036450094218595736
5 2010 734991 0.0028517403059652967
5 2010 735117 0.0021334137576056417
5 2010 735310 0.0012667879396161658
5 2010 735537 0.0013602075198704208
6 2010 733469 0.00076943075649169631
