# curve  peak  x  y
0 1997 1988 0.00026106252447461169
0 1997 1990 0.00053219797764768491
0 1997 1991 0.00028771458712956741
0 1997 1993 0.00062348998519211286
0 1997 1994 0.0010468281108242025
0 1997 1995 0.00099576798605924798
0 1997 1996 0.0022712164857079543
0 1997 1997 0.0024001200060002996
0 1997 1998 0.0020403637170104232
0 1997 1999 0.0018409572977948537
0 1997 2000 0.0016130806173699462
0 1997 2001 0.0012436974789915966
0 1997 2002 0.0013785497656465407
0 1997 2003 0.0012757995010206392
0 1997 2004 0.0014764428273880137
0 1997 2005 0.0015386906239142316
0 1997 2006 0.0013648245390825604
0 1997 2007 0.0013308606959746908
0 1997 2008 0.0015859766277128533
0 1997 2009 0.0014465674160689529
0 1997 2010 0.001370894556969357
0 1997 2011 0.0012300355764135948
0 1997 2012 0.0011180471443212533
0 1997 2013 0.0011881335165039204
0 1997 2014 0.0010842273453549392
0 1997 2015 0.0011133247392476273
1 1997 1990 0.00031931878658861094
1 1997 1991 0.00067133403663565739
1 1997 1993 0.00093523497778816929
1 1997 1994 0.001116616651545816
1 1997 1995 0.0014314164799601693
1 1997 1996 0.0014402836250830935
1 1997 1997 0.0022501125056252815
1 1997 1998 0.0020847194499889112
1 1997 1999 0.0018009364869732251
1 1997 2000 0.00208967261795652
1 1997 2001 0.001579831932773109
1 1997 2002 0.0016236252795392564
1 1997 2003 0.0015026083012020866
1 1997 2004 0.0014237127264098703
1 1997 2005 0.001389785079664467
1 1997 2006 0.0014573550163084967
1 1997 2007 0.0014399476382676996
1 1997 2008 0.0012729549248747911
1 1997 2009 0.0012657464890603355
1 1997 2010 0.0012743526867602488
1 1997 2011 0.0012489592006661131
1 1997 2012 0.0010994130252492303
1 1997 2013 0.0010210522407455534
1 1997 2014 0.0011222704101042369
1 1997 2015 0.0011914527911246545
2 1997 1982 0.00050505050505050505
2 1997 1983 0.00068760027504011006
2 1997 1986 0.00049529470034670627
2 1997 1987 0.0011656709893632523
2 1997 1989 0.0010499300046663555
2 1997 1990 0.0014901543374135177
2 1997 1991 0.0012467632108947926
2 1997 1992 0.0012983640612827833
2 1997 1993 0.0015587249629802815
2 1997 1994 0.0016749249773187237
2 1997 1995 0.0020537714712471986
2 1997 1996 0.0023820075337912701
2 1997 1997 0.0024501225061253074
2 1997 1998 0.0024395653138168105
2 1997 1999 0.0022011445951895005
2 1997 2000 0.0023462990798108277
2 1997 2001 0.0022857142857142868
2 1997 2002 0.0021137763073246947
2 1997 2003 0.0017861193014288949
2 1997 2004 0.0017137282817896587
2 1997 2005 0.0017372313495805855
2 1997 2006 0.0018043443059057584
2 1997 2007 0.0017235736882295211
2 1997 2008 0.0015025041736227013
2 1997 2009 0.0013059289172844685
2 1997 2010 0.0011971191905929615
2 1997 2011 0.001116493830898492
2 1997 2012 0.0010248765489611483
2 1997 2013 0.00094679389596406122
2 1997 2014 0.00098911968348169843
2 1997 2015 0.00095706863549357285
3 1997 1976 0.0012033694344163659
3 1997 1978 0.0015353121801432957
3 1997 1980 0.0017307026652821043
3 1997 1981 0.001456452082726478
3 1997 1983 0.0020628008251203306
3 1997 1984 0.0032786885245901631
3 1997 1985 0.0040300421322586565
3 1997 1986 0.0039623576027736501
3 1997 1987 0.0049541017047938229
3 1997 1988 0.006004438062916069
3 1997 1989 0.0067662155856276253
3 1997 1990 0.0076636508781266627
3 1997 1991 0.0084396278891339799
3 1997 1992 0.0091751060330650044
3 1997 1993 0.0097420310186267581
3 1997 1994 0.0095610300788610547
3 1997 1995 0.0098332088623350744
3 1997 1996 0.0093618435630401092
3 1997 1997 0.009900495024751238
3 1997 1998 0.0085606564648480765
3 1997 1999 0.0084043702725417196
3 1997 2000 0.00843201231807017
3 1997 2001 0.0086386554621848688
3 1997 2002 0.008669546303954917
3 1997 2003 0.0089305965071444782
3 1997 2004 0.0084104511060138776
3 1997 2005 0.0081401697523204308
3 1997 2006 0.0078882231835110672
3 1997 2007 0.0075269990182175173
3 1997 2008 0.0072829716193656135
3 1997 2009 0.0067305567275430522
3 1997 2010 0.0063910718078430684
3 1997 2011 0.0060744833850578939
3 1997 2012 0.0051430168638777474
3 1997 2013 0.0040285152043960937
3 1997 2014 0.003328768165563406
3 1997 2015 0.0026563537638188972
4 2015 1979 0.0012652889076339097
4 2015 1980 0.0013845621322256837
4 2015 1983 0.0013752005500802206
4 2015 1984 0.0014344262295081962
4 2015 1985 0.0012822861329913901
4 2015 1986 0.0013207858675912164
4 2015 1987 0.0010199621156928452
4 2015 1988 0.00078318757342383562
4 2015 1989 0.00081661222585160953
4 2015 1990 0.00095795635976583283
4 2015 1991 0.0013426680732713143
4 2015 1992 0.0012118064571972655
4 2015 1993 0.0015587249629802832
4 2015 1994 0.0018842905994835638
4 2015 1995 0.001929300472989795
4 2015 1996 0.0018834478174163533
4 2015 1997 0.0018500925046252316
4 2015 1998 0.0020403637170104232
4 2015 1999 0.0018009364869732251
4 2015 2000 0.0018697070792242539
4 2015 2001 0.0022184873949579846
4 2015 2002 0.0024201206996905915
4 2015 2003 0.0023814924019051956
4 2015 2004 0.0023992195945055222
4 2015 2005 0.0023824887079962262
4 2015 2006 0.002498322885100282
4 2015 2007 0.0025526344496563727
4 2015 2008 0.002566777963272121
4 2015 2009 0.0026319490486810121
4 2015 2010 0.0030700314726496911
4 2015 2011 0.0030277798804026965
4 2015 2012 0.0030932637659554646
4 2015 2013 0.0030074629636505368
4 2015 2014 0.003062466712318343
4 2015 2015 0.0031055900621118071
5 2015 1989 0.00046663555762949138
5 2015 1990 0.00053219797764768491
