# nu_over_mean_r0  nu_over_mean_rgt0
1.0072992700729928 0.99270072992700731
1 1
1.061124694376528 0.93887530562347177
0.77828054298642535 1.2217194570135745
0.81657861448024405 1.183421385519756
1 1
0.68414322250639381 1.3158567774936061
1.1150442477876106 0.88495575221238942
0.81453548165923895 1.1854645183407611
1.0061349693251533 0.99386503067484677
0.77419354838709686 1.2258064516129032
1.0581395348837208 0.94186046511627908
0.97517834049476448 1.0248216595052355
1.1558958652373659 0.84410413476263402
0.92718406930180608 1.0728159306981939
0.92682926829268286 1.0731707317073169
0.88188976377952755 1.1181102362204722
1.002865329512894 0.99713467048710613
0.96226415094339612 1.0377358490566038
0.78780487804878052 1.2121951219512195
0.92558983666061712 1.074410163339383
0.85308056872037918 1.1469194312796209
1.0625 0.9375
0.51786639047125849 1.4821336095287416
0.62068965517241381 1.3793103448275863
1.1538461538461537 0.84615384615384603
0.79599692070823713 1.2040030792917629
0.81224818694601142 1.1877518130539888
0.81241997439180536 1.1875800256081945
0.96969696969696972 1.0303030303030303
0.88479262672811054 1.1152073732718895
0.70588235294117641 1.2941176470588236
0.88119484046164298 1.1188051595383572
0.71641791044776115 1.2835820895522387
0.96331043725917243 1.0366895627408277
1.1537777777777778 0.84622222222222221
1 1
0.73952816562349544 1.2604718343765047
1.032258064516129 0.96774193548387111
0.88888888888888895 1.1111111111111112
0.99844961240310082 1.0015503875968992
1.054945054945055 0.94505494505494514
0.89397089397089402 1.1060291060291061
1.0149253731343284 0.98507462686567171
0.51923076923076916 1.4807692307692308
0.69964664310954072 1.3003533568904595
1.0178842073355563 0.98211579266444371
1 1
0.87359364659166117 1.1264063534083388
0.86531585220500584 1.1346841477949938
0.77551020408163263 1.2244897959183674
0.92045454545454541 1.0795454545454546
1 1
0.82544861337683517 1.1745513866231647
0.58078602620087338 1.4192139737991265
0.8834355828220859 1.1165644171779141
0.42044911610129004 1.5795508838987098
0.56264775413711576 1.437352245862884
1.0766355140186914 0.92336448598130838
1.2028469750889679 0.79715302491103202
0.914572864321608 1.085427135678392
0.87804878048780488 1.121951219512195
0.78260869565217384 1.2173913043478262
1.060880829015544 0.93911917098445596
1.1208791208791209 0.87912087912087911
1.1329916070523292 0.86700839294767085
0.62992125984251968 1.3700787401574803
0.2978723404255319 1.7021276595744681
1.127839065541856 0.87216093445814402
0.46017699115044247 1.5398230088495577
0.71499176276771015 1.28500823723229
0.62222222222222223 1.3777777777777778
0.97142857142857142 1.0285714285714285
1.4948665297741275 0.50513347022587274
0.57627118644067787 1.423728813559322
1.0420168067226891 0.95798319327731096
0.97439984062157581 1.0256001593784241
0.8307692307692307 1.1692307692307691
0.69249394673123477 1.307506053268765
0.6169573060733613 1.3830426939266385
0.7608069164265131 1.239193083573487
0.77088948787061995 1.2291105121293802
1.0961848468565287 0.90381515314347138
0.93054479731474304 1.0694552026852568
0.88372093023255816 1.1162790697674418
1.0909090909090908 0.90909090909090917
0.92547274749721908 1.0745272525027809
0.61736334405144699 1.3826366559485532
0.59060402684563751 1.4093959731543624
0.99865410497981166 1.0013458950201886
0.84848484848484851 1.1515151515151516
0.62068965517241381 1.3793103448275863
1.256797583081571 0.74320241691842892
0.80800942285041222 1.1919905771495878
1.0894941634241246 0.91050583657587547
0.26086956521739124 1.7391304347826086
1.194888178913738 0.805111821086262
0.90780141843971629 1.0921985815602837
0.90400000000000003 1.0960000000000001
0.90604598353675847 1.0939540164632415
0.61706221937139183 1.3829377806286081
2 0
0.94878706199460927 1.0512129380053907
1.0077519379844961 0.99224806201550386
0.6284658040665434 1.3715341959334564
0.96875 1.03125
0.84937712344280847 1.1506228765571913
1.1489741302408563 0.85102586975914363
0.67052023121387283 1.3294797687861273
1 1
0.95332671300893745 1.0466732869910627
1 1
1.5306122448979591 0.46938775510204084
0.79069767441860461 1.2093023255813953
0.92290377039954985 1.0770962296004503
1.1548619447779114 0.84513805522208896
0.88311688311688319 1.116883116883117
0.88524590163934425 1.1147540983606556
0.73684210526315796 1.2631578947368423
0.2537313432835821 1.7462686567164181
0.77929155313351506 1.2207084468664851
2 0
0.9050279329608939 1.0949720670391061
0.46416382252559724 1.5358361774744027
1.1089108910891088 0.8910891089108911
