# nu_over_mean_r0  nu_over_mean_rgt0
0.80000000000000004 1.2000000000000002
0 2
0.83333333333333337 1.1666666666666667
0 2
0 2
0.88000000000000012 1.1200000000000001
0.5 1.5
1.0769230769230769 0.92307692307692302
1.5116279069767442 0.48837209302325585
0 2
0.41379310344827586 1.5862068965517242
1.1428571428571428 0.8571428571428571
1.21875 0.78125
0.37606837606837612 1.6239316239316242
0 2
0.61538461538461542 1.3846153846153846
0.60465116279069764 1.3953488372093024
0.7142857142857143 1.2857142857142858
0.53061224489795922 1.4693877551020409
0.39195979899497485 1.6080402010050252
0.8571428571428571 1.1428571428571428
0.66666666666666663 1.3333333333333333
0.92561983471074372 1.0743801652892562
1.2258064516129032 0.77419354838709686
0.60759493670886078 1.3924050632911393
1.0370370370370372 0.96296296296296302
2 0
2 0
0 2
0.91089108910891092 1.0891089108910892
1.1666666666666667 0.83333333333333326
0.5185185185185186 1.4814814814814816
1 1
0.66666666666666663 1.3333333333333333
0.80000000000000004 1.2
2 0
0 2
0 2
1.0769230769230769 0.92307692307692302
0.84210526315789469 1.1578947368421053
0 2
0.40000000000000002 1.6000000000000001
0 2
0 2
1 1
1.3333333333333333 0.66666666666666663
0.88372093023255816 1.1162790697674418
1.2000000000000002 0.80000000000000004
0 2
0.5 1.5
0 2
0.66666666666666663 1.3333333333333333
2 0
0.80000000000000004 1.2000000000000002
2 0
0.80000000000000004 1.2000000000000002
0.80000000000000004 1.2000000000000002
0 2
1.4285714285714286 0.57142857142857151
0 2
0.58823529411764708 1.411764705882353
0.66666666666666663 1.3333333333333333
2 0
0 2
0 2
1.2000000000000002 0.80000000000000004
0.66666666666666663 1.3333333333333333
1 1
0.80000000000000004 1.2000000000000002
0.61538461538461542 1.3846153846153848
0 2
1.4285714285714286 0.57142857142857151
0 2
