# curve  peak  x  y
0 1986 1961 0.00069108500345542499
0 1986 1967 0.00096969696969696967
0 1986 1969 0.00082576383154417832
0 1986 1970 0.001467449306296692
0 1986 1971 0.0013799448022079122
0 1986 1972 0.0014717425431711147
0 1986 1973 0.001335336337840093
0 1986 1974 0.0013751176087428534
0 1986 1975 0.0013056453618502852
0 1986 1976 0.0011877766979807788
0 1986 1977 0.0011686611817501875
0 1986 1978 0.0012288534797034369
0 1986 1979 0.0013980498996271871
0 1986 1980 0.0012915012915012923
0 1986 1981 0.0013609220941535882
0 1986 1982 0.001548520302821748
0 1986 1983 0.0021808602522024531
0 1986 1984 0.0030304762993881851
0 1986 1985 0.0032957412843091817
0 1986 1986 0.0037674669960626912
0 1986 1987 0.003381281006623986
0 1986 1988 0.0032452595585949623
0 1986 1989 0.0030019938615946443
0 1986 1990 0.0028525350267110186
0 1986 1991 0.0029361077423884566
0 1986 1992 0.0026164138570576936
0 1986 1993 0.0020387436524355804
0 1986 1994 0.0018057010530958817
0 1986 1995 0.0016348808109008794
0 1986 1996 0.0014938443311183214
0 1986 1997 0.001414553600538479
0 1986 1998 0.0013027833069386499
0 1986 1999 0.0011852224312324036
0 1986 2000 0.0010453048390977188
0 1986 2001 0.0010149435053226907
0 1986 2002 0.0009289927931597497
0 1986 2003 0.00079599349938641595
0 1986 2004 0.00074903147774087186
0 1986 2005 0.00069668829362974638
0 1986 2006 0.00065889971815227821
0 1986 2007 0.00061299758361949008
0 1986 2008 0.00054452654022356384
0 1986 2009 0.00052586057775470818
0 1986 2010 0.00048583965960165287
0 1986 2011 0.00041910968207843624
0 1986 2012 0.00039055369476530266
0 1986 2013 0.00039039960187821354
0 1986 2014 0.00037355000707313402
0 1986 2015 0.0003377080106669178
1 1986 1972 0.0002943485086342229
1 1986 1973 0.000500751126690035
1 1986 1974 0.00079612072085112552
1 1986 1975 0.00074608306391444907
1 1986 1976 0.00070186804880682449
1 1986 1977 0.00070119670905011231
1 1986 1978 0.00077827387047884299
1 1986 1979 0.00093203326641812419
1 1986 1980 0.0013230013230013226
1 1986 1981 0.0015553395361755321
1 1986 1982 0.001695998426900009
1 1986 1983 0.0015978580065641734
1 1986 1984 0.0016581851449482526
1 1986 1985 0.0015620440462090386
1 1986 1986 0.0018682930595228919
1 1986 1987 0.0018015021756603196
1 1986 1988 0.0018153559216661473
1 1986 1989 0.0017586307323520858
1 1986 1990 0.0015421832476564847
1 1986 1991 0.0014771722182202809
1 1986 1992 0.0013910048353977626
1 1986 1993 0.0013315779574948269
1 1986 1994 0.0013163698516844013
1 1986 1995 0.0012135846019379615
1 1986 1996 0.0011389847582089878
1 1986 1997 0.0011148154770043023
1 1986 1998 0.0010073566090826741
1 1986 1999 0.00096523796482942542
1 1986 2000 0.00090427164652104319
1 1986 2001 0.00088038660120793449
1 1986 2002 0.00081822826782147751
1 1986 2003 0.00077277702232098761
1 1986 2004 0.00075824088115571814
1 1986 2005 0.00071962453374924129
1 1986 2006 0.00069655113061813101
1 1986 2007 0.00065623807706981924
1 1986 2008 0.00059776913526765618
1 1986 2009 0.00058813354090987702
1 1986 2010 0.00057679594290607761
1 1986 2011 0.00059535067659347712
1 1986 2012 0.00055186935129880599
1 1986 2013 0.00051481266181741675
1 1986 2014 0.00053269557221671815
1 1986 2015 0.00054033281706706432
2 1986 1962 0.0005977286312014345
2 1986 1970 0.00026680896478121661
2 1986 1971 0.00034498620055197805
2 1986 1972 0.00049058084772370483
2 1986 1973 0.00041729260557502924
2 1986 1974 0.00057899688789172761
2 1986 1975 0.00062173588659537437
2 1986 1976 0.00064787819889860739
2 1986 1977 0.00060770381451009676
2 1986 1978 0.00061442673985171847
2 1986 1979 0.00057355893318038458
2 1986 1980 0.00059850059850059811
2 1986 1981 0.00063880016664352203
2 1986 1982 0.00066365155835217821
2 1986 1983 0.00062618759716704005
2 1986 1984 0.00076238397468885236
2 1986 1985 0.00077243936350996495
2 1986 1986 0.00084922411796494943
2 1986 1987 0.00077603170643829149
2 1986 1988 0.00075847062480571999
2 1986 1989 0.00070569258686739751
2 1986 1990 0.00068541477673621579
2 1986 1991 0.00065652098587568042
2 1986 1992 0.00067066304563820692
2 1986 1993 0.00063193530186195224
2 1986 1994 0.00059960302144787016
2 1986 1995 0.0005470562713399095
2 1986 1996 0.00054945998385961398
2 1986 1997 0.00052585635707750114
2 1986 1998 0.00051336442578251915
2 1986 1999 0.00053873746874200448
2 1986 2000 0.00050606027924572292
2 1986 2001 0.00053053865050958771
2 1986 2002 0.00053953042987354982
2 1986 2003 0.00049417929753573647
2 1986 2004 0.00047888897757203397
2 1986 2005 0.0004845280725243907
2 1986 2006 0.00049215774866068554
2 1986 2007 0.0004985374538980028
2 1986 2008 0.00049612418109258594
2 1986 2009 0.00049587729919852233
2 1986 2010 0.00050802411894419752
2 1986 2011 0.00054591722691242975
2 1986 2012 0.00054762420244265989
2 1986 2013 0.00055771371696886757
2 1986 2014 0.00059016480407412739
2 1986 2015 0.00063582266835908799
3 1986 1974 0.0001447492219729319
3 1986 1975 0.00024869435463814973
3 1986 1976 0.00086383759853147623
3 1986 1977 0.0009816753926701568
3 1986 1978 0.0013107770450169992
3 1986 1979 0.0011112704330369949
3 1986 1980 0.00097650097650097637
3 1986 1981 0.0014164699347312872
3 1986 1982 0.0014502015534362412
3 1986 1983 0.001533079979271032
3 1986 1984 0.0016581851449482526
3 1986 1985 0.0015963746845872595
3 1986 1986 0.0016675673589129931
3 1986 1987 0.0015797788309636664
3 1986 1988 0.001330432079577247
3 1986 1989 0.0011649528418128455
3 1986 1990 0.0011289184558008272
3 1986 1991 0.0010759649490740333
3 1986 1992 0.00094389613830562352
3 1986 1993 0.00082001128455896216
3 1986 1994 0.0007925787065115493
3 1986 1995 0.00069796834619230072
3 1986 1996 0.00066965435532890388
3 1986 1997 0.00064680331920532672
3 1986 1998 0.00066834236564139102
3 1986 1999 0.00062403756795948589
3 1986 2000 0.0005433925949277843
3 1986 2001 0.00046133795696485722
3 1986 2002 0.00045377724896649568
3 1986 2003 0.00040794666843554234
3 1986 2004 0.00037144593773215384
3 1986 2005 0.000375580931956776
3 1986 2006 0.00032003700595967938
3 1986 2007 0.00032303192165840031
3 1986 2008 0.00029283427274245238
3 1986 2009 0.00027446231909127733
3 1986 2010 0.0002418106068336999
3 1986 2011 0.00021707732251242257
3 1986 2012 0.00021013486837916096
3 1986 2013 0.00016302400957551866
3 1986 2014 0.0001547248550007041
3 1986 2015 0.00014905732884608336
4 1986 1962 0.0005977286312014345
4 1986 1964 0.001598082301238514
4 1986 1966 0.0034462952326249283
4 1986 1967 0.0033939393939393945
4 1986 1968 0.0031993601279744054
4 1986 1969 0.0026424442609413699
4 1986 1970 0.0024012806830309499
4 1986 1971 0.0024149034038638446
4 1986 1972 0.0029434850863422311
4 1986 1973 0.003421799365715239
4 1986 1974 0.0037634797712962284
4 1986 1975 0.0041656304401890068
4 1986 1976 0.0041032285930245119
4 1986 1977 0.0044876589379207188
4 1986 1978 0.0046286814402162757
4 1986 1979 0.0049827932320045884
4 1986 1980 0.0050400050400050411
4 1986 1981 0.00516594917372587
4 1986 1982 0.0051863140300855357
4 1986 1983 0.0050742788046294757
4 1986 1984 0.0052795090247202969
4 1986 1985 0.0052869183102459832
4 1986 1986 0.0053115108469080491
4 1986 1987 0.005252071727502014
4 1986 1988 0.0050233136462542738
4 1986 1989 0.0050854672132983891
4 1986 1990 0.0049591775022679169
4 1986 1991 0.0046230019422079105
